login;commits;percentage
toshokan;2;0.015345661014348195
vonagam;2;0.015345661014348195
mirek;2;0.015345661014348195
krisleech;2;0.015345661014348195
vexatos;2;0.015345661014348195
chocolateboy;3;0.02301849152152229
mjgpy3;3;0.02301849152152229
val;3;0.02301849152152229
geopjr;3;0.02301849152152229
veelenga;3;0.02301849152152229
yb66;3;0.02301849152152229
baseballlover723;3;0.02301849152152229
nesqwik;3;0.02301849152152229
bebac;3;0.02301849152152229
damaxwell;3;0.02301849152152229
ozra;3;0.02301849152152229
farleyknight;3;0.02301849152152229
sebastianszturo;3;0.02301849152152229
esse;3;0.02301849152152229
mjago;3;0.02301849152152229
wonderix;3;0.02301849152152229
bmmcginty;3;0.02301849152152229
epitron;3;0.02301849152152229
waterlink;3;0.02301849152152229
dnamsons;3;0.02301849152152229
rmosolgo;3;0.02301849152152229
paulcsmith;3;0.02301849152152229
zw963;3;0.02301849152152229
meatball133;3;0.02301849152152229
kcerb;3;0.02301849152152229
hugoabonizio;3;0.02301849152152229
marksiemers;3;0.02301849152152229
jessedoyle;3;0.02301849152152229
jcs;3;0.02301849152152229
matthewmcgarvey;3;0.02301849152152229
isarcasm;3;0.02301849152152229
larubujo;3;0.02301849152152229
maxpowa;3;0.02301849152152229
kalinon;3;0.02301849152152229
lachlan;4;0.03069132202869639
dscottboggs;4;0.03069132202869639
kcreate;4;0.03069132202869639
jalyna;4;0.03069132202869639
dreauw;4;0.03069132202869639
jirutka;4;0.03069132202869639
booch;4;0.03069132202869639
compumike;4;0.03069132202869639
chastell;4;0.03069132202869639
sferik;4;0.03069132202869639
xyz10;4;0.03069132202869639
devdazed;4;0.03069132202869639
rosylilly;4;0.03069132202869639
kumpelblase2;4;0.03069132202869639
jan-zajic;4;0.03069132202869639
samueleaton;4;0.03069132202869639
vjdhama;4;0.03069132202869639
cyangle;4;0.03069132202869639
alexwayfer;4;0.03069132202869639
icy-arctic-fox;4;0.03069132202869639
mattrberry;4;0.03069132202869639
fxn;4;0.03069132202869639
omarroth;4;0.03069132202869639
asb;4;0.03069132202869639
ftarulla;4;0.03069132202869639
maroo-b;5;0.038364152535870485
kostya;5;0.038364152535870485
icyleaf;5;0.038364152535870485
docelic;5;0.038364152535870485
fernandes;5;0.038364152535870485
felixbuenemann;5;0.038364152535870485
i3oris;5;0.038364152535870485
potomak;5;0.038364152535870485
arcage;5;0.038364152535870485
juanedi;5;0.038364152535870485
fryguy;6;0.04603698304304458
toddsundsted;6;0.04603698304304458
naps62;6;0.04603698304304458
rymiel;6;0.04603698304304458
mmacia;6;0.04603698304304458
porras;6;0.04603698304304458
karlseguin;6;0.04603698304304458
arktisklada;6;0.04603698304304458
rodrigopinto;6;0.04603698304304458
matiasgarciaisaia;7;0.05370981355021868
konovod;7;0.05370981355021868
papierkorb;7;0.05370981355021868
dylandrop;7;0.05370981355021868
kachick;7;0.05370981355021868
ggiraldez;7;0.05370981355021868
malojaffre;7;0.05370981355021868
joshgoebel;8;0.06138264405739278
jwoertink;8;0.06138264405739278
maxfierke;8;0.06138264405739278
kubo;9;0.06905547456456687
oprypin;9;0.06905547456456687
dmgk;9;0.06905547456456687
renovate[bot];9;0.06905547456456687
woodruffw;10;0.07672830507174097
bararchy;10;0.07672830507174097
miketheman;10;0.07672830507174097
mamantoha;10;0.07672830507174097
firejox;10;0.07672830507174097
refi64;10;0.07672830507174097
prep;11;0.08440113557891506
waj;11;0.08440113557891506
carlhoerberg;11;0.08440113557891506
tatey;11;0.08440113557891506
wmoxam;12;0.09207396608608916
hugopl;12;0.09207396608608916
willhbr;12;0.09207396608608916
fncontroloption;13;0.09974679659326327
jgaskins;15;0.11509245760761146
didactic-drunk;15;0.11509245760761146
bjmllr;15;0.11509245760761146
jacobub;17;0.13043811862195964
davydovanton;17;0.13043811862195964
rdp;17;0.13043811862195964
luislavena;18;0.13811094912913374
rhysd;19;0.14578377963630784
jkthorne;19;0.14578377963630784
blobcodes;20;0.15345661014348194
j8r;21;0.16112944065065604
akzhan;21;0.16112944065065604
zamith;22;0.1688022711578301
vegai;24;0.1841479321721783
pragtob;24;0.1841479321721783
papamarkou;25;0.1918207626793524
beta-ziliani;31;0.23785774572239698
bew;32;0.2455305762295711
maiha;40;0.3069132202869639
lbguilherme;41;0.31458605079413793
yui-knk;50;0.3836415253587048
blacksmoke16;65;0.4987339829663162
rx14;79;0.6061536100667536
will;90;0.6905547456456688
sija;170;1.3043811862195964
ysbaddaden;236;1.810787999693087
bcardiff;308;2.3632317962096216
jhass;322;2.470651423310059
makenowjust;344;2.639453694467889
hertzdevil;571;4.381186219596409
straight-shoota;933;7.158750863193432
asterite;6228;47.78638839868027
