login;commits;percentage
Cyborgmas;39;0.4704463208685163
AbrarSyed;45;0.5428226779252111
SizableShrimp;45;0.5428226779252111
XFactHD;56;0.6755126658624849
ichttt;63;0.7599517490952955
pupnewfster;72;0.8685162846803377
sciwhiz12;74;0.8926417370325694
williewillus;87;1.0494571773220747
gigaherz;95;1.1459589867310012
diesieben07;116;1.3992762364294329
bs2609;182;2.195416164053076
mezz;184;2.2195416164053077
tterrag1098;223;2.689987937273824
RainWarrior;255;3.07599517490953
cpw;2362;28.492159227985525
LexManos;2754;33.22074788902292
