id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1007057130;1316551973;2022-07-25 09:45:54;ichttt;open;NA;False;NA;17
1007040115;1316532459;2022-07-25 09:29:42;ichttt;open;NA;False;NA;16
789237991;1064066936;2021-11-26 03:23:46;SizableShrimp;closed;2021-11-26 04:37:17;True;2021-11-26 04:37:17;14
658604637;907821368;2021-06-01 02:53:27;SizableShrimp;closed;2021-06-25 22:02:37;True;2021-06-25 22:02:37;13
441109327;646998691;2020-06-28 20:24:11;DaemonUmbra;closed;2020-06-28 20:32:55;True;2020-06-28 20:32:55;12
425092451;627255520;2020-05-29 13:06:58;TwilightFlower;closed;2020-07-26 19:10:07;True;2020-07-26 19:10:07;11
361828266;548568067;2020-01-12 13:05:43;ichttt;closed;2020-07-26 19:10:06;False;NA;10
246065877;401026116;2019-01-19 19:18:42;srs-bsns;closed;2019-01-20 03:52:12;True;2019-01-20 03:52:12;4
213157528;357049164;2018-09-05 03:11:31;DenWav;closed;2018-09-12 04:43:43;True;2018-09-12 04:43:43;2
163092125;288789114;2018-01-16 05:21:02;DenWav;closed;2018-06-10 03:35:34;False;NA;1
