id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1497596621;1875998188;2023-08-31 17:46:10;PaintNinja;open;NA;False;NA;29
1362865722;1723711048;2023-05-24 10:53:59;Matyrobbrt;closed;2023-05-24 13:30:04;True;2023-05-24 13:30:04;27
1356113380;1716079354;2023-05-18 18:27:01;juliarn;closed;2023-05-19 18:26:27;False;NA;26
1355170825;1715029334;2023-05-18 05:51:44;SizableShrimp;closed;2023-05-22 04:55:32;False;NA;25
1354336963;1714088419;2023-05-17 14:51:00;sciwhiz12;closed;2023-05-17 17:15:23;True;2023-05-17 17:15:23;24
1111509938;1436859179;2022-11-05 06:02:12;jpenilla;closed;2022-11-05 20:44:28;False;NA;19
1001461341;1310284668;2022-07-20 01:50:39;SizableShrimp;closed;2022-07-20 17:43:15;True;2022-07-20 17:43:15;18
887821122;1178811842;2022-03-24 00:44:03;SizableShrimp;closed;2022-07-20 17:44:27;True;2022-07-20 17:44:27;17
880955372;1170559284;2022-03-16 05:24:15;mezz;closed;2022-03-16 08:23:31;True;2022-03-16 08:23:31;16
840512394;1124500041;2022-02-04 18:36:47;marchermans;closed;2022-02-04 18:38:57;True;2022-02-04 18:38:57;15
840494549;1124479034;2022-02-04 18:10:10;marchermans;closed;2022-02-04 18:24:48;True;2022-02-04 18:24:48;14
813222816;1092600452;2022-01-03 15:24:10;SizableShrimp;closed;2022-02-04 22:23:06;True;2022-02-04 22:23:06;13
806125082;1084179382;2021-12-19 20:02:57;zml2008;open;NA;False;NA;12
790196470;1065467921;2021-11-28 23:32:34;SizableShrimp;closed;2021-11-28 23:55:46;True;2021-11-28 23:55:46;11
789993295;1065131453;2021-11-27 22:12:17;zml2008;closed;2021-11-27 22:22:01;True;2021-11-27 22:22:01;10
788515469;1063173156;2021-11-25 05:27:43;zml2008;closed;2021-11-25 06:19:02;True;2021-11-25 06:19:02;9
788493358;1063147091;2021-11-25 04:28:39;zml2008;closed;2021-11-25 04:36:39;True;2021-11-25 04:36:39;8
788493287;1063147009;2021-11-25 04:28:29;zml2008;closed;2021-11-25 04:37:39;True;2021-11-25 04:37:39;7
788493202;1063146908;2021-11-25 04:28:18;zml2008;closed;2021-11-25 05:54:38;True;2021-11-25 05:54:38;6
787165482;1061508312;2021-11-23 16:52:09;SizableShrimp;closed;2021-11-24 01:21:30;True;2021-11-24 01:21:30;5
786591774;1060791494;2021-11-23 03:07:03;zml2008;closed;2021-11-23 03:38:49;True;2021-11-23 03:38:49;4
786589605;1060789079;2021-11-23 03:03:38;zml2008;closed;2021-11-25 04:21:31;True;2021-11-25 04:21:31;3
736020884;998890126;2021-09-17 03:28:48;SizableShrimp;closed;2021-11-12 03:06:14;False;NA;2
721669886;981667415;2021-08-27 23:53:20;SizableShrimp;closed;2021-08-28 00:03:26;True;2021-08-28 00:03:26;1
