id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1496055919;1874271129;2023-08-30 19:47:01;PaintNinja;open;NA;False;NA;73
964844435;1268381018;2022-06-11 21:56:39;PaintNinja;closed;2022-06-13 18:13:08;True;2022-06-13 18:13:08;70
699079314;955309502;2021-07-28 23:32:34;DaemonUmbra;closed;2021-07-28 23:57:24;True;2021-07-28 23:57:24;68
675318982;927114465;2021-06-22 11:10:46;SizableShrimp;closed;2021-06-24 03:25:02;True;2021-06-24 03:25:02;67
670016642;920941906;2021-06-15 03:09:22;SizableShrimp;closed;2021-06-17 03:30:33;True;2021-06-17 03:30:33;66
636378308;882869434;2021-05-09 21:59:19;PaintNinja;closed;2021-05-11 22:14:15;True;2021-05-11 22:14:15;65
628439642;873683197;2021-05-01 14:10:57;AterAnimAvis;closed;2021-06-01 13:29:26;False;NA;64
628416585;873647585;2021-05-01 11:27:38;PaintNinja;closed;2021-05-09 22:00:02;False;NA;63
628119210;873286442;2021-04-30 20:44:19;PaintNinja;closed;2021-05-01 19:20:31;True;2021-05-01 19:20:31;61
576367649;811915427;2021-02-19 10:46:43;ichttt;closed;2021-11-02 20:25:45;True;2021-11-02 20:25:45;60
545619822;774768740;2020-12-25 18:15:47;diesieben07;closed;2020-12-25 18:24:19;True;2020-12-25 18:24:19;59
520872220;742814262;2020-11-13 21:58:15;TheCurle;closed;2020-11-25 17:31:41;True;2020-11-25 17:31:41;58
448196072;655777418;2020-07-13 11:31:58;sammko;closed;2020-07-13 18:16:22;True;2020-07-13 18:16:22;57
395116509;589606127;2020-03-28 16:11:27;kb-1000;closed;2020-07-13 18:11:21;False;NA;55
375128912;564999133;2020-02-13 22:56:16;The-Unnamed-Engineer;closed;2020-02-13 23:13:38;False;NA;53
373198735;562638783;2020-02-10 15:30:33;Pieter12345;closed;2020-02-18 17:35:01;False;NA;52
327194017;505844717;2019-10-11 13:12:09;ichttt;closed;2019-10-14 17:14:45;True;2019-10-14 17:14:45;49
306202901;479253435;2019-08-10 10:31:08;ichttt;closed;2019-09-05 21:36:07;True;2019-09-05 21:36:06;47
261001917;420801122;2019-03-14 02:19:25;XakepSDK;closed;2020-07-13 18:11:43;False;NA;45
254180780;411832009;2019-02-19 09:43:54;bs2609;closed;2019-02-19 22:49:20;True;2019-02-19 22:49:20;44
253626467;411040520;2019-02-16 07:19:24;Barteks2x;closed;2019-10-14 17:15:33;True;2019-10-14 17:15:33;42
253626356;411040329;2019-02-16 07:16:47;Barteks2x;closed;2019-02-16 07:30:05;True;2019-02-16 07:30:05;41
228143594;377096995;2018-11-03 21:58:05;MetalBreaker;closed;2018-11-03 21:58:30;False;NA;40
219128462;365101559;2018-09-29 06:08:48;tterrag1098;closed;2018-09-29 06:45:34;True;2018-09-29 06:45:34;39
219117179;365084369;2018-09-29 01:37:55;tterrag1098;closed;2018-09-29 02:12:26;True;2018-09-29 02:12:26;38
105810382;207088378;2017-02-12 22:47:05;diesieben07;closed;2017-03-18 19:13:05;True;2017-03-18 19:13:05;35
101591991;200861909;2017-01-15 10:56:45;Spottedleaf;closed;2018-09-28 19:40:59;False;NA;34
95401541;191859264;2016-11-27 12:40:08;marvin-roesch;closed;2016-12-19 04:45:38;True;2016-12-19 04:45:37;33
82858809;173410763;2016-08-26 09:35:37;TeddyTN;closed;2016-08-26 19:16:57;False;NA;31
58447717;131680843;2016-02-05 16:04:36;ArgonBird18;closed;2016-02-05 18:19:33;False;NA;27
40066144;95283561;2015-07-15 20:31:26;calclavia;closed;2015-07-17 16:47:29;False;NA;26
29787954;58546269;2015-02-23 06:07:27;MAlden94;closed;2015-02-23 06:14:58;False;NA;25
29787787;58545937;2015-02-23 06:00:57;MAlden94;closed;2015-02-23 06:03:46;False;NA;24
29786550;58543094;2015-02-23 05:08:15;MAlden94;closed;2015-02-23 05:25:27;True;2015-02-23 05:25:27;23
29783602;58537303;2015-02-23 02:57:38;MAlden94;closed;2015-02-23 03:23:02;False;NA;22
29783428;58536940;2015-02-23 02:50:11;MAlden94;closed;2015-02-23 03:23:10;False;NA;21
28383017;56068911;2015-01-30 18:42:03;boq;closed;2015-01-30 22:55:13;True;2015-01-30 22:55:13;20
24186232;48327658;2014-11-10 23:21:03;Nidan;closed;2014-11-10 23:26:11;True;2014-11-10 23:26:11;19
22682625;45702721;2014-10-14 01:14:59;MoeBoy76;closed;2014-10-14 01:15:16;False;NA;18
20173514;40911612;2014-08-22 14:07:51;Mumfrey;closed;2014-08-25 18:42:15;True;2014-08-25 18:42:15;17
11166900;24934343;2013-12-31 23:03:03;GrahamCampbell;closed;2014-01-01 03:11:09;False;NA;15
10928936;24479880;2013-12-18 10:02:16;yuuka-miya;closed;2014-08-21 15:50:05;False;NA;14
10925307;24473608;2013-12-18 07:20:09;yuuka-miya;closed;2013-12-18 09:14:04;False;NA;13
6854467;16613112;2013-07-11 03:50:25;ezfe;closed;2013-07-11 22:40:04;False;NA;9
6764269;16439747;2013-07-07 06:40:29;fuj1n;closed;2015-11-28 00:53:27;False;NA;7
6746835;16399952;2013-07-05 11:58:01;yuuka-miya;closed;2013-07-07 03:02:45;True;2013-07-07 03:02:45;5
6691653;16292167;2013-07-02 22:35:56;AbrarSyed;closed;2013-07-02 22:50:56;True;2013-07-02 22:50:56;4
6669740;16251760;2013-07-02 07:42:09;jeffreykog;closed;2013-07-02 10:05:32;True;2013-07-02 10:05:32;2
