LexManos;9;14;7;4;5;11;2;2;19;15;6;8;11;17;11;7;8;7;2;16;24;7;9;34;3;92;9;5;64;2;13;13;5;7;20;23;49;6;78;5;4;3;4;36;84;8;22;5;16;3;3;2;2;4;2;47;29;35;2;4;4;2;5;72;2;19;71;49;4;2;26;129;13;4;126;433;81;1953;0.05325140809011777
kashike;53;17;12;10;2;2;4;21;18;20;19;790;995;973;0.017471736896197326
Marcono1234;1787;1;1.0
TheMDev;1659;1;1.0
cpw;1464;1;1.0
JDLogic;43;191;7;1163;242;0.01652892561983471
OhYea777;1361;1;1.0
Barteks2x;1280;2;1.0
Cyborgmas;8;4;34;141;84;84;8;4;815;368;0.024456521739130436
Lorak-mmk;1137;1;1.0
sciwhiz12;878;1;1.0
SizableShrimp;6;27;130;16;127;83;206;225;596;0.013422818791946308
coehlrich;9;65;66;44;17;52;8;124;97;33;50;2;3;83;572;0.026223776223776224
marchermans;80;550;81;0.024691358024691357
TheCurle;451;1;1.0
github-actions[bot];268;1;1.0
