agaricusb;13;3;7;4;14;2;7;37;2;23;17;3775;145;0.18620689655172415
LexManos;4;2;2;6;6;3;27;201;7;76;31;32;5;2;2;196;54;44;316;150;27;53;38;369;349;10;36;108;30;97;7;2;111;151;14;37;103;25;12;12;181;6;3;95;808;3061;0.020581509310682783
AbrarSyed;17;6;29;2;4;2;4;4;290;319;2838;682;0.021994134897360705
cpw;3;2837;4;0.5
boq;2428;1;1.0
stephan-gh;2271;1;1.0
mezz;2201;1;1.0
ichttt;1563;1;1.0
JDLogic;1147;1;1.0
sciwhiz12;903;1;1.0
theWituch;874;1;1.0
SizableShrimp;4;4;14;15;136;129;513;303;0.0231023102310231
TheCurle;809;1;1.0
coehlrich;12;448;65;461;0.006507592190889371
marchermans;524;2;1.0
