id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1387716666;1751643699;2023-06-11 23:11:45;juliarn;closed;2023-06-13 15:48:00;True;2023-06-13 15:48:00;16
1360649569;1721220481;2023-05-23 05:32:22;SizableShrimp;closed;2023-05-23 05:59:41;True;2023-05-23 05:59:41;15
1298657523;1650410563;2023-04-01 10:32:57;coehlrich;closed;2023-04-01 15:37:49;True;2023-04-01 15:37:48;14
1296126084;1647491382;2023-03-30 12:08:52;Matyrobbrt;closed;2023-03-31 20:41:27;True;2023-03-31 20:41:27;13
898098894;1190683277;2022-04-02 16:53:38;SizableShrimp;closed;2022-04-02 22:13:12;True;2022-04-02 22:13:12;11
845011916;1129792819;2022-02-10 10:29:40;theWituch;closed;2022-02-23 19:47:30;False;NA;10
813452031;1092870163;2022-01-03 22:39:02;TheGlitch76;closed;2023-05-23 16:36:55;False;NA;9
799597884;1076474223;2021-12-10 06:10:02;SizableShrimp;closed;2021-12-10 06:13:17;True;2021-12-10 06:13:17;8
792221092;1067850562;2021-12-01 01:31:34;octylFractal;closed;2021-12-10 08:43:22;False;NA;7
789809787;1064821451;2021-11-26 22:01:51;AterAnimAvis;closed;2021-12-10 09:58:04;False;NA;6
789809510;1064821114;2021-11-26 22:00:46;AterAnimAvis;closed;2021-11-28 23:11:23;True;2021-11-28 23:11:23;5
628531175;873822703;2021-05-02 02:51:09;theWituch;closed;2021-05-07 19:05:41;False;NA;3
575621163;811027585;2021-02-18 11:48:55;sciwhiz12;closed;2023-06-27 07:30:29;False;NA;2
436530210;641275872;2020-06-18 14:55:04;marchermans;closed;2020-06-18 18:22:38;False;NA;1
