dacap;8;26;57;54;5;5;6;20;41;16;6;26;2;4;10;8;18;14;18;4;8;4;2;41;2;76;22;59;39;2;47;48;77;150;50;2;65;30;18;10;21;5;8;24;20;113;17;46;24;29;14;10;61;6;30;5;1536;0.041015625
oceanhahn;1393;2;1.0
Wei-1;168;1;1.0
stmio;108;1305;109;0.01834862385321101
TakWolf;1274;1;1.0
CodyKoInABox;1229;1;1.0
Geokureli;1150;1;1.0
jestarray;468;1050;469;0.0042643923240938165
kavnthir;1035;1;1.0
thkwznk;7;13;16;71;1022;108;0.046296296296296294
brickviking;20;919;22;0.13636363636363635
SaraVieira;905;1;1.0
prtksxna;873;1;1.0
tanmayrajk;739;1;1.0
exoego;545;1;1.0
behreajj;527;1;1.0
c0las;134;1;1.0
