id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1527485090;1909959442;2023-09-23 18:24:36;Jokimax;open;NA;False;NA;68
1477890764;1853699061;2023-08-16 18:12:45;martincapello;open;NA;False;NA;66
1466991210;1841422483;2023-08-08 14:22:39;Gasparoken;closed;2023-08-11 13:13:20;False;NA;65
1463442179;1837318545;2023-08-04 20:45:24;Gasparoken;closed;2023-09-22 19:27:26;True;2023-09-22 19:27:26;64
1412529753;1779902510;2023-06-28 23:36:49;mochaaP;open;NA;False;NA;63
1354371422;1714126400;2023-05-17 15:09:33;Gasparoken;closed;2023-05-18 12:24:20;False;NA;61
1329434037;1685778239;2023-04-26 21:45:57;Gasparoken;closed;2023-08-11 13:17:06;False;NA;60
1291953149;1642760956;2023-03-27 20:23:08;martincapello;closed;2023-03-28 17:13:05;False;NA;59
1291756047;1642538674;2023-03-27 17:48:02;Gasparoken;closed;2023-03-28 17:38:18;False;NA;58
1248785529;1593549274;2023-02-21 14:07:03;winterheart;closed;2023-06-29 17:12:16;False;NA;55
1195793158;1531253703;2023-01-12 19:36:48;martincapello;closed;2023-01-16 13:25:26;True;2023-01-16 13:25:26;54
1188666965;1523151907;2023-01-06 20:52:25;martincapello;closed;2023-01-06 22:23:40;True;2023-01-06 22:23:40;53
1186879222;1521160486;2023-01-05 18:07:17;martincapello;closed;2023-01-05 18:34:47;True;2023-01-05 18:34:47;52
1186769015;1521037452;2023-01-05 16:39:43;martincapello;closed;2023-01-05 17:16:26;True;2023-01-05 17:16:26;51
1119729375;1446187780;2022-11-12 02:22:41;winterheart;closed;2023-01-06 23:51:07;False;NA;49
1088257627;1410305115;2022-10-15 22:17:47;chaosink;open;NA;False;NA;48
1014314991;1324938644;2022-08-01 20:27:49;lifning;closed;2022-09-14 16:32:29;False;NA;46
997791271;1306074457;2022-07-15 14:00:34;Gasparoken;closed;2022-07-15 14:03:49;False;NA;45
995492472;1303428865;2022-07-13 13:19:24;Gasparoken;closed;2022-07-13 21:06:23;False;NA;44
872262331;1160351314;2022-03-05 13:28:22;Delta2Force;closed;2022-09-14 16:55:30;False;NA;43
831174368;1113548856;2022-01-25 08:02:24;iamOgunyinka;closed;2022-02-01 07:06:57;False;NA;42
812625412;1091878715;2022-01-01 19:44:19;doomed-phobos;open;NA;False;NA;40
812107639;1091258243;2021-12-30 18:54:33;Gasparoken;closed;2022-01-03 20:18:58;False;NA;39
804842224;1082647776;2021-12-16 21:14:14;martincapello;closed;2021-12-16 23:17:59;True;2021-12-16 23:17:59;37
781890773;1055118220;2021-11-16 17:07:03;iamOgunyinka;closed;2021-11-17 14:15:20;False;NA;36
770105677;1040688652;2021-11-01 02:25:14;slembcke;closed;2021-11-01 14:36:09;False;NA;35
749911782;1016372144;2021-10-05 14:03:50;martincapello;closed;2021-10-05 14:10:01;False;NA;33
718925050;978316489;2021-08-24 17:14:39;martincapello;closed;2021-08-24 17:43:50;False;NA;32
683973266;937412177;2021-07-05 23:30:22;Enfyve;closed;2021-07-07 14:59:34;False;NA;29
663120398;913033614;2021-06-07 02:30:31;clarfonthey;closed;2021-06-07 13:46:36;True;2021-06-07 13:46:36;28
660479898;909987369;2021-06-03 00:37:16;clarfonthey;closed;2021-06-07 13:47:00;False;NA;27
466170700;676961207;2020-08-11 15:14:59;Gasparoken;closed;2020-08-11 15:53:17;True;2020-08-11 15:53:17;21
446708292;653876097;2020-07-09 08:37:24;aesophor;closed;2020-07-09 14:17:57;True;2020-07-09 14:17:57;20
444280403;650884986;2020-07-04 12:41:26;nanoant;closed;2021-07-16 17:06:14;False;NA;19
437300923;642224523;2020-06-19 21:23:24;Gnumaru;closed;2020-06-22 14:05:01;True;2020-06-22 14:05:01;18
437246066;642156920;2020-06-19 18:38:58;Gnumaru;closed;2020-06-19 20:57:36;False;NA;17
424495881;626520415;2020-05-28 13:43:50;Gasparoken;closed;2020-05-28 13:46:38;False;NA;16
307113594;480410801;2019-08-13 23:13:24;no-more-secrets;closed;2019-08-13 23:32:04;False;NA;13
290300961;458771442;2019-06-20 17:05:43;ayuusweetfish;closed;2019-07-02 19:47:46;True;2019-07-02 19:47:45;10
290235887;458683914;2019-06-20 14:13:49;ayuusweetfish;closed;2019-07-02 19:26:45;True;2019-07-02 19:26:45;9
265193418;426307806;2019-03-28 05:39:14;ayuusweetfish;closed;2019-04-01 13:17:40;True;2019-04-01 13:17:40;8
263219128;423709001;2019-03-21 12:39:29;ayuusweetfish;closed;2019-03-23 13:00:49;True;2019-03-23 13:00:49;7
262896326;423291762;2019-03-20 14:44:54;ayuusweetfish;closed;2019-03-23 12:46:39;False;NA;6
243112687;397083949;2019-01-08 21:01:25;Gasparoken;closed;2019-01-09 14:56:02;True;2019-01-09 14:56:02;5
243080475;397042504;2019-01-08 19:01:55;Gasparoken;closed;2019-01-08 19:21:01;False;NA;4
98606742;196474489;2016-12-19 17:29:40;winterheart;closed;2016-12-20 16:33:36;True;2016-12-20 16:33:36;1
