id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1363122219;1723998445;2023-05-24 13:27:37;Gasparoken;closed;2023-05-24 13:40:17;True;2023-05-24 13:40:17;25
1248672180;1593421464;2023-02-21 12:48:02;DimensionalSpace;open;NA;False;NA;24
1112045297;1437514887;2022-11-06 19:36:15;Dolvem;open;NA;False;NA;23
1049128061;1365076010;2022-09-07 19:06:40;def4alt;open;NA;False;NA;22
712601657;970682769;2021-08-13 20:11:48;c0las;closed;2021-10-28 11:31:40;True;2021-10-28 11:31:40;13
701172637;957806100;2021-08-02 06:42:33;5idereal;closed;2021-10-28 11:24:10;True;2021-10-28 11:24:10;12
683083245;936334368;2021-07-03 22:08:29;lufog;closed;2021-10-28 11:20:08;False;NA;11
576970795;812657209;2021-02-20 16:36:37;dotheflopboy;closed;2021-03-08 20:25:38;True;2021-03-08 20:25:38;10
572970916;807796723;2021-02-13 17:58:09;iFeddy;closed;2021-03-08 20:25:11;True;2021-03-08 20:25:11;9
346264032;529375378;2019-11-27 14:18:40;kraineff;closed;2019-11-27 14:36:05;False;NA;6
322489874;499892786;2019-09-29 09:52:16;farvardin;closed;2019-10-02 11:24:24;True;2019-10-02 11:24:24;5
317606421;493690580;2019-09-15 03:29:56;Inky1003;closed;2019-09-16 13:24:56;True;2019-09-16 13:24:56;4
245310242;400021609;2019-01-16 22:13:05;kraineff;closed;2019-09-16 13:21:36;True;2019-09-16 13:21:36;3
204182798;344896143;2018-07-26 15:34:36;chongx1an;closed;2018-07-26 16:33:40;True;2018-07-26 16:33:39;2
