kientzle;6;20;8;18;4;26;22;11;20;46;20;2;27;41;64;8;76;4;98;128;12;205;51;870;0.029885057471264367
emaste;908;1;1.0
mmatuska;65;115;79;38;76;14;32;2;10;2;2;17;2;3;6;7;13;2;11;4;13;18;6;2;8;4;7;2;11;3;3;2;4;2;4;7;3;2;2;5;2;2;3;2;4;3;4;2;2;5;3;3;3;4;2;10;44;20;2;7;11;3;13;41;5;7;3;8;6;7;2;3;2;2;3;901;0.13873473917869034
gperciva;460;439;461;0.004338394793926247
jsonn;35;3;9;18;175;110;47;4;120;201;67;16;39;3;46;852;0.022300469483568074
cperciva;901;1;1.0
tonytheodore;885;1;1.0
jrmarino;683;193;684;0.0029239766081871343
bradking;608;239;609;0.003284072249589491
korli;837;1;1.0
vapier;194;563;17;7;5;238;787;0.007623888182973317
spanglerco;4;814;5;0.4
zweger;347;470;348;0.005747126436781609
legnaleurc;807;1;1.0
jstarks;249;2;539;252;0.011904761904761904
trollixx;75;719;76;0.02631578947368421
BenjaminTrapani;2;5;720;9;0.4444444444444444
ArshanKhanifar;5;702;7;0.42857142857142855
antekone;11;194;16;5;2;23;13;28;6;2;3;3;28;15;25;53;3;3;2;2;4;3;35;8;95;82;5;23;677;0.051698670605613
Sp1l;654;1;1.0
eborisch;4;589;5;0.4
phcerdan;591;1;1.0
somasis;581;1;1.0
anthonybrandon;573;1;1.0
mellery451;565;1;1.0
Yoha-test;55;429;56;0.03571428571428571
ice799;460;1;1.0
uckelman-sf;454;1;1.0
guischulz;434;1;1.0
DerDakon;165;255;166;0.012048192771084338
praiskup;105;313;106;0.018867924528301886
jcfr;405;1;1.0
daxtens;13;28;379;43;0.09302325581395349
GeraldNDA;371;1;1.0
lwhsu;392;1;1.0
kulikjak;364;1;1.0
mgorny;358;1;1.0
BotellaA;346;1;1.0
elfring;345;1;1.0
HadesD;344;1;1.0
patcheng;4;325;5;0.4
ijanos;329;1;1.0
RhodiumToad;291;2;1.0
pohly;1178;1;1.0
kidandcat;275;1;1.0
ecatmur;265;1;1.0
mtomasz-chromium;1892;1;1.0
sssr33;270;1;1.0
marcespie;218;1;1.0
dtor;204;1;1.0
MaximeLM;173;1;1.0
ferdnyc;136;1;1.0
ischwarze;124;1;1.0
danielverkamp;103;1;1.0
Claybird;2;19;3;61;8;86;0.05813953488372093
kwojcicki;53;1;1.0
cielavenir;27;1;1.0
