id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1469508435;1844246017;2023-08-10 01:09:43;bcardiff;closed;2023-08-15 00:11:35;True;2023-08-15 00:11:35;188
1443045757;1814180475;2023-07-20 14:49:16;bcardiff;closed;2023-07-31 14:04:18;True;2023-07-31 14:04:18;186
1426171524;1795230449;2023-07-09 04:33:28;jgaskins;closed;2023-07-10 13:55:35;True;2023-07-10 13:55:35;184
1405065272;1771459622;2023-06-23 13:23:17;bcardiff;closed;2023-06-23 16:48:41;True;2023-06-23 16:48:41;183
1369406982;1731065654;2023-05-29 17:30:25;bcardiff;closed;2023-06-23 01:03:09;True;2023-06-23 01:03:09;181
1368508800;1730065216;2023-05-29 05:04:52;jgaskins;closed;2023-05-29 20:47:21;True;2023-05-29 20:47:21;180
1308028468;1661356218;2023-04-10 21:00:05;bcardiff;closed;2023-05-29 17:21:25;False;NA;179
1291974538;1642785658;2023-03-27 20:44:55;bcardiff;closed;2023-04-24 10:26:26;True;2023-04-24 10:26:26;178
1103195582;1427363978;2022-10-28 14:40:11;renovate[bot];open;NA;False;NA;174
1093525175;1416317464;2022-10-20 09:52:43;straight-shoota;closed;2022-10-20 18:48:21;True;2022-10-20 18:48:21;173
1087054679;1408899952;2022-10-14 07:27:51;amauryt;closed;2022-10-27 16:36:46;True;2022-10-27 16:36:46;172
963174108;1266465008;2022-06-09 17:46:30;robcole;closed;2022-06-09 17:46:50;False;NA;171
948441081;1249769036;2022-05-26 16:12:42;robcole;closed;2023-07-10 13:55:37;False;NA;170
911653467;1206607562;2022-04-18 03:12:52;jgaskins;closed;2022-10-26 14:06:14;True;2022-10-26 14:06:14;168
910369071;1205007838;2022-04-14 21:27:46;jgaskins;closed;2022-10-27 16:35:58;True;2022-10-27 16:35:58;167
887656921;1178624596;2022-03-23 20:26:50;straight-shoota;closed;2022-03-25 17:59:21;True;2022-03-25 17:59:21;163
829519706;1111578899;2022-01-22 14:20:09;bcardiff;closed;2022-01-22 18:06:17;True;2022-01-22 18:06:16;160
828060760;1109921493;2022-01-21 01:01:15;bcardiff;closed;2022-01-21 13:57:15;True;2022-01-21 13:57:15;159
756910176;1024632884;2021-10-13 00:23:13;bcardiff;closed;2022-01-27 13:56:35;True;2022-01-27 13:56:35;157
748424309;1014555285;2021-10-03 22:06:43;jwoertink;closed;2021-10-12 23:49:26;True;2021-10-12 23:49:26;156
728198234;989458672;2021-09-06 22:13:56;stakach;closed;2021-09-10 11:36:02;True;2021-09-10 11:36:02;155
727136887;988157589;2021-09-03 23:34:54;stakach;closed;2021-09-06 22:02:43;True;2021-09-06 22:02:43;154
726620712;987551000;2021-09-03 08:44:52;dukeraphaelng;closed;2021-09-03 08:45:01;False;NA;153
670232233;921194340;2021-06-15 09:25:53;straight-shoota;closed;2021-06-21 14:53:14;True;2021-06-21 14:53:14;152
598280154;838036174;2021-03-22 19:20:57;bcardiff;closed;2021-03-22 20:18:00;True;2021-03-22 20:18:00;149
582595728;819492356;2021-03-02 01:14:54;oprypin;open;NA;False;NA;148
581583530;818295745;2021-02-28 20:02:28;oprypin;closed;2021-06-08 23:52:00;True;2021-06-08 23:52:00;147
564557236;797584646;2021-01-31 00:16:42;matthewmcgarvey;closed;2021-07-09 19:25:16;False;NA;146
558226487;789960519;2021-01-20 13:02:59;dukeraphaelng;closed;2021-01-20 22:52:32;False;NA;144
558215427;789947355;2021-01-20 12:44:02;dukeraphaelng;closed;2021-08-05 03:12:59;True;2021-08-05 03:12:59;142
510815740;730526118;2020-10-27 14:53:12;jgaskins;closed;2020-10-27 15:55:07;True;2020-10-27 15:55:07;139
494841325;711125484;2020-09-29 13:43:26;bcardiff;closed;2020-09-30 13:37:38;True;2020-09-30 13:37:37;136
494404960;710581393;2020-09-28 21:12:22;bcardiff;closed;2020-09-29 13:35:15;True;2020-09-29 13:35:15;135
486852084;701388620;2020-09-14 20:03:38;bcardiff;closed;2020-09-25 17:49:51;True;2020-09-25 17:49:51;134
433605630;637660571;2020-06-12 10:42:16;jgaskins;closed;2020-09-14 13:49:01;True;2020-09-14 13:49:01;131
416174653;615970015;2020-05-11 15:22:16;straight-shoota;closed;2021-10-12 23:51:53;True;2021-10-12 23:51:53;129
400293375;595899241;2020-04-07 14:12:22;straight-shoota;closed;2020-09-14 13:55:19;True;2020-09-14 13:55:19;128
399921159;595446729;2020-04-06 21:41:00;bcardiff;closed;2020-04-06 23:11:41;True;2020-04-06 23:11:41;126
399917313;595441836;2020-04-06 21:31:30;bcardiff;closed;2020-04-06 21:36:37;True;2020-04-06 21:36:37;125
399907775;595430075;2020-04-06 21:10:56;bcardiff;closed;2020-04-06 21:14:41;True;2020-04-06 21:14:41;124
372680943;561971504;2020-02-08 05:04:59;jwoertink;closed;2020-02-17 21:04:24;True;2020-02-17 21:04:24;121
362624738;549555129;2020-01-14 13:06:33;bcardiff;closed;2020-01-14 13:29:54;True;2020-01-14 13:29:54;117
352015920;536495755;2019-12-11 16:54:20;bcardiff;closed;2019-12-11 20:38:43;True;2019-12-11 20:38:43;116
332822780;512917048;2019-10-27 04:07:09;nickbclifford;closed;2019-10-31 14:34:23;True;2019-10-31 14:34:23;115
316934022;492839589;2019-09-12 14:23:55;bcardiff;closed;2019-09-20 20:37:30;True;2019-09-20 20:37:30;112
316913053;492813710;2019-09-12 13:40:44;bcardiff;closed;2019-09-12 14:04:35;True;2019-09-12 14:04:34;111
314577000;489845248;2019-09-05 15:40:59;straight-shoota;closed;2019-09-20 20:23:10;True;2019-09-20 20:23:10;110
309203271;483049100;2019-08-20 19:49:03;bcardiff;closed;2019-09-12 12:59:50;True;2019-09-12 12:59:50;109
302720208;474850737;2019-07-30 22:29:54;bcardiff;closed;2019-08-02 14:54:53;True;2019-08-02 14:54:53;108
291659216;460550091;2019-06-25 17:30:53;bcardiff;closed;2019-07-02 13:01:18;True;2019-07-02 13:01:18;107
