id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1103213763;1427384967;2022-10-28 14:55:30;renovate[bot];open;NA;False;NA;16
697369787;953308065;2021-07-26 21:36:14;jhass;open;NA;False;NA;14
690565516;945202859;2021-07-15 09:49:55;straight-shoota;closed;2021-07-16 10:31:18;True;2021-07-16 10:31:17;13
403477882;599937504;2020-04-15 00:23:55;straight-shoota;closed;2020-05-11 00:01:53;True;2020-05-11 00:01:53;9
356425225;541870843;2019-12-23 19:07:52;bcardiff;closed;2020-01-02 13:59:54;True;2020-01-02 13:59:54;8
338733304;520083119;2019-11-08 15:39:51;straight-shoota;closed;2020-01-14 12:32:21;True;2020-01-14 12:32:21;7
335112437;515694947;2019-10-31 19:40:00;bcardiff;closed;2019-11-05 18:37:22;True;2019-11-05 18:37:22;6
195130447;332717232;2018-06-15 10:04:49;bcardiff;closed;2018-06-15 10:05:12;True;2018-06-15 10:05:12;5
193839622;330991139;2018-06-10 18:27:39;bcardiff;closed;2018-06-15 10:00:48;True;2018-06-15 10:00:47;4
193839610;330991121;2018-06-10 18:27:22;bcardiff;closed;2018-06-15 10:01:06;True;2018-06-15 10:01:06;3
168330435;295995455;2018-02-09 20:04:52;bcardiff;closed;2018-03-06 19:05:03;True;2018-03-06 19:05:03;2
168063665;295634704;2018-02-08 19:22:25;bcardiff;closed;2018-03-06 19:02:26;True;2018-03-06 19:02:26;1
