id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1485014911;1861742986;2023-08-22 15:48:59;brodyhoskins;open;NA;False;NA;110
1405482884;1771923885;2023-06-23 18:44:28;bcardiff;closed;2023-06-23 19:30:01;True;2023-06-23 19:30:01;108
1405340948;1771768552;2023-06-23 16:57:44;bcardiff;closed;2023-06-23 18:36:19;True;2023-06-23 18:36:19;107
1304838237;1657524986;2023-04-06 14:24:18;steveaffleck;open;NA;False;NA;106
1103034165;1427177690;2022-10-28 12:17:19;renovate[bot];open;NA;False;NA;105
834005892;1116886406;2022-01-28 00:51:39;bcardiff;closed;2022-01-28 00:55:00;True;2022-01-28 00:55:00;103
833562301;1116372024;2022-01-27 15:21:34;bcardiff;closed;2022-01-27 15:36:59;True;2022-01-27 15:36:59;102
833462185;1116261363;2022-01-27 14:10:34;bcardiff;closed;2022-01-28 00:39:49;True;2022-01-28 00:39:49;101
800687135;1077847618;2021-12-12 16:23:10;Dakad;closed;2022-12-18 14:47:51;True;2022-12-18 14:47:51;100
561938353;794418234;2021-01-26 17:25:01;bcardiff;closed;2021-01-26 19:11:50;True;2021-01-26 19:11:50;97
495674953;712147020;2020-09-30 17:44:52;bcardiff;closed;2020-09-30 19:03:52;True;2020-09-30 19:03:52;96
486855188;701392365;2020-09-14 20:09:57;bcardiff;closed;2020-09-30 17:31:03;True;2020-09-30 17:31:03;95
452699014;660985715;2020-07-19 18:18:38;timestretch;open;NA;False;NA;94
437281916;642201372;2020-06-19 20:24:21;bcardiff;closed;2020-06-19 20:42:14;True;2020-06-19 20:42:14;93
437277105;642195380;2020-06-19 20:09:36;bcardiff;closed;2020-06-19 20:21:47;True;2020-06-19 20:21:47;92
432036239;635723180;2020-06-09 20:07:59;bcardiff;closed;2020-06-10 13:37:42;True;2020-06-10 13:37:42;91
425236154;627428398;2020-05-29 17:37:54;bcardiff;closed;2020-06-09 20:03:41;True;2020-06-09 20:03:41;90
399968399;595504180;2020-04-07 00:11:57;bcardiff;closed;2020-04-07 00:18:41;True;2020-04-07 00:18:41;89
399953006;595485497;2020-04-06 23:17:10;bcardiff;closed;2020-04-07 00:02:55;True;2020-04-07 00:02:55;88
362341083;549204909;2020-01-13 21:55:30;drum445;closed;2020-01-14 13:00:42;True;2020-01-14 13:00:42;87
352112347;536610928;2019-12-11 20:59:51;bcardiff;closed;2019-12-11 21:02:41;True;2019-12-11 21:02:41;86
352107674;536605391;2019-12-11 20:47:26;bcardiff;closed;2019-12-11 20:51:57;True;2019-12-11 20:51:57;85
319877335;496543147;2019-09-20 20:55:11;bcardiff;closed;2019-09-20 20:58:38;True;2019-09-20 20:58:38;84
319874025;496539127;2019-09-20 20:44:01;bcardiff;closed;2019-09-20 20:53:52;True;2019-09-20 20:53:52;83
302720462;474851048;2019-07-30 22:31:04;bcardiff;closed;2019-08-02 15:26:20;True;2019-08-02 15:26:20;80
293914697;463434204;2019-07-02 21:01:57;bcardiff;closed;2019-07-03 20:06:08;True;2019-07-03 20:06:08;79
290844516;459505908;2019-06-22 19:51:23;Blacksmoke16;closed;2019-07-01 15:16:34;True;2019-07-01 15:16:33;78
285768722;452988210;2019-06-06 11:54:03;kalinon;closed;2020-10-07 15:28:55;True;2020-10-07 15:28:55;76
271839039;434963474;2019-04-18 21:18:18;bcardiff;closed;2019-04-19 05:03:14;True;2019-04-19 05:03:14;75
268097277;430129732;2019-04-07 10:44:33;ochran;open;NA;False;NA;74
264262241;425083299;2019-03-25 19:44:36;bcardiff;closed;2019-04-18 20:58:30;True;2019-04-18 20:58:30;73
257668126;416402214;2019-03-02 14:25:28;fernandes;open;NA;False;NA;72
257661506;416391373;2019-03-02 12:15:58;fernandes;closed;2019-07-01 15:29:37;True;2019-07-01 15:29:36;71
245135980;399795263;2019-01-16 12:52:44;j8r;closed;2019-01-24 15:40:04;True;2019-01-24 15:40:04;69
208375584;350553009;2018-08-14 18:48:40;kalinon;open;NA;False;NA;65
195231826;332847689;2018-06-15 16:54:03;bcardiff;closed;2018-06-15 17:01:00;True;2018-06-15 17:01:00;61
195222268;332835446;2018-06-15 16:13:01;bcardiff;closed;2018-06-15 16:26:36;True;2018-06-15 16:26:36;60
194152598;331417814;2018-06-12 02:47:03;crash2burn;closed;2019-11-14 17:53:27;False;NA;59
191994200;328464289;2018-06-01 10:25:08;LeonLiuY;closed;2018-06-15 16:58:44;False;NA;57
181637326;314310988;2018-04-14 08:28:50;helaan;open;NA;False;NA;55
153473352;275119046;2017-11-18 23:41:17;lipanski;closed;2017-11-21 23:09:35;True;2017-11-21 23:09:35;50
134356364;248297702;2017-08-07 03:19:10;pacuum;closed;2018-11-06 18:51:06;True;2018-11-06 18:51:06;45
133058415;246467509;2017-07-28 21:50:17;crisward;closed;2017-11-08 03:47:05;False;NA;41
131784891;244683390;2017-07-21 14:20:49;benoist;closed;2017-07-21 14:38:38;True;2017-07-21 14:38:38;38
130348420;242671143;2017-07-13 11:33:39;benoist;closed;2017-07-13 16:44:07;True;2017-07-13 16:44:07;37
127140172;238049773;2017-06-23 06:09:32;benoist;closed;2017-07-06 13:59:51;True;2017-07-06 13:59:51;35
113394545;218150289;2017-03-30 10:24:10;crisward;closed;2017-11-08 03:35:06;True;2017-11-08 03:35:06;31
111641739;215543095;2017-03-20 20:20:06;bcardiff;closed;2017-03-21 18:23:10;True;2017-03-21 18:23:10;30
109986699;213138563;2017-03-09 19:24:13;metacortex;open;NA;False;NA;29
105703951;206904073;2017-02-10 20:54:33;spalladino;closed;2017-02-14 14:12:18;True;2017-02-14 14:12:18;26
101882020;201313670;2017-01-17 15:10:29;aurimasniekis;open;NA;False;NA;24
99823390;198267621;2017-01-01 13:41:11;crisward;closed;2017-02-09 20:15:37;True;2017-02-09 20:15:37;23
97826581;195356312;2016-12-13 20:14:19;bcardiff;closed;2016-12-14 15:27:31;True;2016-12-14 15:27:31;20
96441825;193367437;2016-12-04 18:49:18;bcardiff;closed;2016-12-13 19:56:07;True;2016-12-13 19:56:07;16
96376304;193249925;2016-12-03 00:26:09;crisward;closed;2016-12-07 15:33:30;False;NA;15
95394273;191846028;2016-11-27 06:51:17;tbrand;closed;2016-11-27 13:47:34;True;2016-11-27 13:47:34;13
84093548;175207677;2016-09-06 10:01:23;crisward;closed;2016-09-07 22:38:29;True;2016-09-07 22:38:29;9
83870809;174856565;2016-09-02 22:06:08;crisward;closed;2016-09-06 15:39:39;True;2016-09-06 15:39:39;7
83537819;174390116;2016-08-31 22:02:42;crisward;closed;2016-09-02 22:18:07;False;NA;6
76467066;164126337;2016-07-06 17:06:32;zachad;closed;2016-07-06 19:09:56;False;NA;4
75514155;162736974;2016-06-28 17:05:42;asterite;closed;2016-07-01 14:58:11;True;2016-07-01 14:58:11;1
