id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1405482613;1771923586;2023-06-23 18:44:10;bcardiff;closed;2023-06-23 19:29:58;True;2023-06-23 19:29:58;92
1405337820;1771765125;2023-06-23 16:55:22;bcardiff;closed;2023-06-23 18:36:08;True;2023-06-23 18:36:08;91
1325506718;1681330322;2023-04-24 13:54:14;bcardiff;closed;2023-04-24 15:53:57;True;2023-04-24 15:53:57;90
1198141345;1533951009;2023-01-15 18:43:42;luislavena;closed;2023-02-18 20:06:10;True;2023-02-18 20:06:10;85
1103034181;1427177711;2022-10-28 12:17:21;renovate[bot];open;NA;False;NA;83
878071421;1167158112;2022-03-12 03:05:32;opsyne;open;NA;False;NA;80
834701497;1117702848;2022-01-28 18:17:17;bcardiff;closed;2022-01-28 18:33:19;True;2022-01-28 18:33:19;79
834659348;1117651615;2022-01-28 17:19:26;bcardiff;closed;2022-01-28 18:14:33;True;2022-01-28 18:14:33;78
833456795;1116255136;2022-01-27 14:05:05;bcardiff;closed;2022-01-27 14:09:27;True;2022-01-27 14:09:27;77
790054380;1065271067;2021-11-28 08:24:59;chillfox;open;NA;False;NA;74
576900157;812559846;2021-02-20 09:11:29;yujiri8;closed;2021-02-28 17:18:08;True;2021-02-28 17:18:08;68
561942764;794423453;2021-01-26 17:32:27;bcardiff;closed;2021-01-26 19:11:21;True;2021-01-26 19:11:21;67
547491991;777117118;2020-12-31 19:16:44;PascalDR;closed;2022-12-17 17:34:10;False;NA;65
525205903;748126012;2020-11-21 23:45:36;tenebrousedge;closed;2021-03-01 11:22:05;False;NA;64
518157556;739508770;2020-11-10 02:09:29;yujiri8;closed;2020-11-11 18:00:40;True;2020-11-11 18:00:40;62
495594684;712048902;2020-09-30 15:27:44;bcardiff;closed;2020-09-30 19:01:49;True;2020-09-30 19:01:48;60
495571363;712020145;2020-09-30 14:54:28;bcardiff;closed;2020-09-30 14:56:46;True;2020-09-30 14:56:46;59
486855655;701392957;2020-09-14 20:10:54;bcardiff;closed;2020-09-30 14:34:26;True;2020-09-30 14:34:26;58
399966753;595502180;2020-04-07 00:05:42;bcardiff;closed;2020-04-07 00:12:06;True;2020-04-07 00:12:06;56
399953975;595486633;2020-04-06 23:19:54;bcardiff;closed;2020-04-06 23:23:01;True;2020-04-06 23:23:01;55
362624643;549555000;2020-01-14 13:06:18;bcardiff;closed;2020-01-14 13:29:58;True;2020-01-14 13:29:58;53
352110601;536608836;2019-12-11 20:55:12;bcardiff;closed;2019-12-11 20:59:43;True;2019-12-11 20:59:43;51
352106741;536604285;2019-12-11 20:44:52;bcardiff;closed;2019-12-11 20:48:04;True;2019-12-11 20:48:04;50
320293483;497096986;2019-09-23 13:25:56;bcardiff;closed;2019-09-23 13:31:02;True;2019-09-23 13:31:02;45
320288365;497090729;2019-09-23 13:14:25;bcardiff;closed;2019-09-23 13:18:46;True;2019-09-23 13:18:45;44
