asterite;110;68;14;130;48;26;64;13;3;10;3;51;1229;542;0.025830258302583026
netfeed;1609;1;1.0
jhass;101;1509;102;0.0196078431372549
bcardiff;9;329;5;48;169;304;46;2;53;3;52;79;34;83;160;16;118;366;451;60;1255;2393;0.010865022983702465
hinrik;3;300;793;304;0.009868421052631578
benoist;9;961;10;0.2
t-richards;385;467;387;0.007751937984496124
ursuscamp;848;1;1.0
luislavena;1096;1;1.0
renovate[bot];1017;1;1.0
opsyne;787;1;1.0
chillfox;683;1;1.0
yujiri8;102;402;103;0.019417475728155338
PascalDR;351;1;1.0
tenebrousedge;311;1;1.0
Indribell;366;1;1.0
mamantoha;578;1;1.0
Zhomart;1028;2;1.0
drujensen;1303;1;1.0
autumnjolitz;1401;1;1.0
