id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1527355613;1909795766;2023-09-23 09:05:38;github-actions[bot];closed;2023-09-25 13:14:08;True;2023-09-25 13:14:07;500
1516980393;1898016876;2023-09-15 09:04:49;github-actions[bot];closed;2023-09-15 12:48:38;True;2023-09-15 12:48:38;499
1507521168;1887263473;2023-09-08 09:05:14;github-actions[bot];closed;2023-09-11 15:25:16;True;2023-09-11 15:25:15;498
1497200458;1875558453;2023-08-31 13:39:57;beta-ziliani;closed;2023-08-31 13:41:06;True;2023-08-31 13:41:06;497
1495870548;1874062063;2023-08-30 17:02:56;straight-shoota;closed;2023-08-31 13:11:47;True;2023-08-31 13:11:47;496
1486036295;1862893811;2023-08-23 09:05:00;github-actions[bot];closed;2023-09-05 12:07:38;True;2023-09-05 12:07:38;495
1475611896;1851122231;2023-08-15 09:05:10;github-actions[bot];closed;2023-08-17 13:54:26;True;2023-08-17 13:54:26;494
1466521781;1840894136;2023-08-08 09:05:00;github-actions[bot];closed;2023-08-08 11:58:49;True;2023-08-08 11:58:48;493
1457685537;1830800896;2023-08-01 09:04:58;github-actions[bot];closed;2023-08-01 12:33:41;True;2023-08-01 12:33:41;492
1453922378;1826532635;2023-07-28 14:29:33;beta-ziliani;open;NA;False;NA;491
1447241461;1818995804;2023-07-24 19:23:02;straight-shoota;closed;2023-07-25 12:50:39;True;2023-07-25 12:50:39;489
1445542106;1817050649;2023-07-23 09:04:34;github-actions[bot];closed;2023-07-24 13:49:25;True;2023-07-24 13:49:25;488
1445328929;1816778460;2023-07-22 14:08:59;straight-shoota;closed;2023-07-25 12:51:19;True;2023-07-25 12:51:19;487
1445321701;1816769607;2023-07-22 13:41:18;straight-shoota;closed;2023-07-24 16:15:09;True;2023-07-24 16:15:09;486
1445320945;1816768653;2023-07-22 13:37:56;straight-shoota;closed;2023-07-24 16:24:10;True;2023-07-24 16:24:10;485
1444779394;1816131242;2023-07-21 17:12:54;straight-shoota;closed;2023-07-25 14:56:38;True;2023-07-25 14:56:38;484
1444736012;1816081861;2023-07-21 16:28:47;straight-shoota;closed;2023-08-15 11:49:37;True;2023-08-15 11:49:37;483
1444385222;1815682798;2023-07-21 11:57:04;straight-shoota;closed;2023-07-24 16:17:23;True;2023-07-24 16:17:23;482
1444235946;1815516576;2023-07-21 09:53:51;straight-shoota;closed;2023-07-24 16:33:06;True;2023-07-24 16:33:06;481
1443627921;1814824158;2023-07-20 21:29:50;straight-shoota;closed;2023-07-24 16:14:55;True;2023-07-24 16:14:55;480
1443055527;1814191496;2023-07-20 14:53:38;beta-ziliani;closed;2023-07-20 17:48:25;True;2023-07-20 17:48:25;479
1441019074;1811930623;2023-07-19 13:18:38;beta-ziliani;closed;2023-07-19 13:53:55;True;2023-07-19 13:53:55;477
1440915623;1811815947;2023-07-19 12:11:19;straight-shoota;closed;2023-07-21 16:33:05;True;2023-07-21 16:33:05;476
1440882887;1811779800;2023-07-19 11:49:38;straight-shoota;closed;2023-07-20 18:08:32;True;2023-07-20 18:08:32;475
1440850147;1811743622;2023-07-19 11:26:07;straight-shoota;closed;2023-07-21 17:15:18;True;2023-07-21 17:15:18;474
1440837146;1811729202;2023-07-19 11:16:42;straight-shoota;closed;2023-07-19 22:03:06;True;2023-07-19 22:03:06;473
1439850470;1810626332;2023-07-18 19:59:43;HertzDevil;closed;2023-07-19 15:46:58;True;2023-07-19 15:46:58;472
1435900831;1806127751;2023-07-15 14:23:45;straight-shoota;closed;2023-07-17 18:32:25;True;2023-07-17 18:32:25;470
1435755947;1805958795;2023-07-15 07:53:10;HertzDevil;closed;2023-07-19 11:19:59;True;2023-07-19 11:19:59;469
1427865454;1797157285;2023-07-10 16:51:43;straight-shoota;closed;2023-07-11 17:27:21;True;2023-07-11 17:27:21;468
1425870777;1794853575;2023-07-08 09:04:53;github-actions[bot];closed;2023-07-17 14:36:29;True;2023-07-17 14:36:29;467
1421563402;1790072556;2023-07-05 18:29:57;HertzDevil;closed;2023-07-11 15:48:32;True;2023-07-11 15:48:32;466
1419023042;1787214114;2023-07-04 06:08:06;mekhla18;closed;2023-07-19 12:22:38;True;2023-07-19 12:22:38;465
1417738767;1785761084;2023-07-03 09:33:08;straight-shoota;closed;2023-07-03 15:22:29;True;2023-07-03 15:22:29;464
1415909305;1783711821;2023-07-01 09:04:49;github-actions[bot];closed;2023-07-03 12:05:13;True;2023-07-03 12:05:13;463
1409821957;1776888866;2023-06-27 12:57:22;straight-shoota;closed;2023-06-27 14:28:59;True;2023-06-27 14:28:59;462
1408022185;1774856015;2023-06-26 13:58:35;straight-shoota;closed;2023-06-26 15:31:44;True;2023-06-26 15:31:44;461
1404739417;1771095115;2023-06-23 09:05:09;github-actions[bot];closed;2023-06-23 21:19:34;True;2023-06-23 21:19:34;460
1394527128;1759277839;2023-06-15 17:38:03;straight-shoota;closed;2023-06-15 19:09:54;True;2023-06-15 19:09:54;459
1394424496;1759161667;2023-06-15 16:13:46;straight-shoota;closed;2023-06-15 17:05:49;True;2023-06-15 17:05:49;458
1393728387;1758377925;2023-06-15 09:04:43;github-actions[bot];closed;2023-06-15 11:50:28;True;2023-06-15 11:50:28;457
1392871486;1757415344;2023-06-14 18:12:39;straight-shoota;closed;2023-06-15 15:50:43;True;2023-06-15 15:50:43;456
1392860838;1757403566;2023-06-14 18:03:58;straight-shoota;closed;2023-06-15 16:33:03;True;2023-06-15 16:33:03;455
1392414295;1756900677;2023-06-14 13:21:51;Blacksmoke16;closed;2023-06-19 22:03:19;True;2023-06-19 22:03:19;454
1384049887;1747435927;2023-06-08 09:04:40;github-actions[bot];closed;2023-06-08 11:43:54;True;2023-06-08 11:43:54;452
1382513394;1745716622;2023-06-07 11:49:54;beta-ziliani;closed;2023-06-07 18:39:10;True;2023-06-07 18:39:10;451
1373646917;1735832074;2023-06-01 09:05:01;github-actions[bot];closed;2023-06-01 15:25:30;True;2023-06-01 15:25:30;449
1362760129;1723593347;2023-05-24 09:44:49;straight-shoota;closed;2023-05-26 10:48:12;True;2023-05-26 10:48:12;448
1360976244;1721583600;2023-05-23 09:05:18;github-actions[bot];closed;2023-05-23 12:04:36;True;2023-05-23 12:04:36;447
1358304532;1718613903;2023-05-21 19:25:50;sanks64;closed;2023-05-23 08:34:35;True;2023-05-23 08:34:34;446
1352980562;1712555625;2023-05-16 18:43:35;ilmanzo;closed;2023-05-22 22:12:10;True;2023-05-22 22:12:10;445
1351419779;1710790637;2023-05-15 20:39:16;beta-ziliani;closed;2023-05-23 10:49:03;True;2023-05-23 10:49:03;444
1350397851;1709646494;2023-05-15 09:04:47;github-actions[bot];closed;2023-05-15 19:46:03;True;2023-05-15 19:46:03;443
1343553936;1701802034;2023-05-09 10:22:52;straight-shoota;closed;2023-05-09 12:29:18;True;2023-05-09 12:29:18;442
1333617403;1690583109;2023-05-01 09:04:50;github-actions[bot];closed;2023-05-11 12:58:42;True;2023-05-11 12:58:42;441
1324306067;1679936823;2023-04-23 09:04:31;github-actions[bot];closed;2023-04-24 13:08:08;True;2023-04-24 13:08:08;440
1321641800;1676876187;2023-04-20 14:45:48;straight-shoota;closed;2023-04-20 16:35:58;True;2023-04-20 16:35:58;439
1310683844;1664348203;2023-04-12 11:08:05;straight-shoota;closed;2023-04-14 16:08:09;True;2023-04-14 16:08:09;438
1306446206;1659454234;2023-04-08 09:04:40;github-actions[bot];closed;2023-04-17 12:13:05;True;2023-04-17 12:13:05;437
1300670814;1652749382;2023-04-03 20:47:26;beta-ziliani;closed;2023-04-24 11:58:00;True;2023-04-24 11:58:00;435
1298632437;1650376350;2023-04-01 09:04:41;github-actions[bot];closed;2023-04-04 17:31:28;True;2023-04-04 17:31:28;434
1294244259;1645363985;2023-03-29 09:16:29;straight-shoota;closed;2023-03-29 14:07:00;True;2023-03-29 14:07:00;433
1287440874;1637570418;2023-03-23 13:42:18;beta-ziliani;closed;2023-03-23 13:43:32;True;2023-03-23 13:43:32;432
1283105725;1632642763;2023-03-20 18:19:02;matiasgarciaisaia;closed;2023-03-22 09:02:51;True;2023-03-22 09:02:51;431
1277399744;1626139956;2023-03-15 19:23:14;straight-shoota;closed;2023-03-29 12:25:48;True;2023-03-29 12:25:47;430
1276440547;1625063723;2023-03-15 09:04:59;github-actions[bot];closed;2023-03-27 14:19:36;True;2023-03-27 14:19:36;429
1274912722;1623331838;2023-03-14 12:00:51;straight-shoota;closed;2023-03-16 18:38:53;True;2023-03-16 18:38:52;428
1273768289;1622031747;2023-03-13 18:26:01;straight-shoota;closed;2023-03-14 15:49:58;True;2023-03-14 15:49:58;427
1273620286;1621860683;2023-03-13 16:43:27;HertzDevil;closed;2023-03-23 13:40:41;True;2023-03-23 13:40:41;426
1268480721;1615963859;2023-03-08 21:22:59;straight-shoota;closed;2023-03-13 15:23:56;True;2023-03-13 15:23:56;425
1268071750;1615494347;2023-03-08 15:45:56;straight-shoota;closed;2023-03-08 16:49:11;True;2023-03-08 16:49:11;424
1267549146;1614901263;2023-03-08 09:04:52;github-actions[bot];closed;2023-03-08 12:08:39;True;2023-03-08 12:08:39;422
1266838202;1614084458;2023-03-07 19:41:31;straight-shoota;closed;2023-03-08 16:49:38;True;2023-03-08 16:49:37;421
1266732234;1613963304;2023-03-07 18:10:02;beta-ziliani;closed;2023-03-07 18:11:20;True;2023-03-07 18:11:20;420
1266714128;1613942944;2023-03-07 17:56:07;bcardiff;closed;2023-03-07 18:39:09;True;2023-03-07 18:39:09;419
1266380278;1613568347;2023-03-07 14:21:52;straight-shoota;closed;2023-03-13 15:24:07;True;2023-03-13 15:24:07;418
1265065736;1612081313;2023-03-06 19:33:42;straight-shoota;closed;2023-03-07 17:12:36;True;2023-03-07 17:12:36;417
1263021445;1609701721;2023-03-04 09:49:01;straight-shoota;open;NA;False;NA;416
1262221598;1608791424;2023-03-03 15:01:05;beta-ziliani;closed;2023-03-07 18:07:40;True;2023-03-07 18:07:40;415
1260969270;1607385084;2023-03-02 19:40:20;straight-shoota;closed;2023-03-04 09:47:17;True;2023-03-04 09:47:17;414
1250624234;1595658030;2023-02-22 18:59:54;bcardiff;closed;2023-03-06 21:21:41;True;2023-03-06 21:21:41;413
1244186955;1588229550;2023-02-16 19:14:02;straight-shoota;closed;2023-02-16 19:23:25;False;NA;412
1242213612;1586001523;2023-02-15 14:55:20;beta-ziliani;closed;2023-03-02 13:38:08;True;2023-03-02 13:38:08;411
1241749313;1585476783;2023-02-15 09:04:49;github-actions[bot];closed;2023-03-03 14:06:58;True;2023-03-03 14:06:58;410
1236860508;1579869840;2023-02-10 15:19:06;straight-shoota;closed;2023-03-01 17:21:54;True;2023-03-01 17:21:54;409
1236831261;1579837870;2023-02-10 15:03:42;straight-shoota;closed;2023-02-15 09:08:20;True;2023-02-15 09:08:20;408
1233217748;1575742110;2023-02-08 09:05:04;github-actions[bot];closed;2023-02-13 17:29:18;True;2023-02-13 17:29:18;407
1232089894;1574450315;2023-02-07 14:35:44;beta-ziliani;closed;2023-02-08 11:44:09;True;2023-02-08 11:44:08;406
1224523433;1565714365;2023-02-01 09:05:09;github-actions[bot];closed;2023-02-01 14:10:19;True;2023-02-01 14:10:18;404
1218824452;1559207926;2023-01-27 05:41:34;neatorobito;closed;2023-01-31 18:21:32;True;2023-01-31 18:21:32;403
1215716116;1555673051;2023-01-24 21:11:28;beta-ziliani;closed;2023-01-26 14:38:06;True;2023-01-26 14:38:06;401
1215515482;1555446747;2023-01-24 18:13:55;beta-ziliani;closed;2023-01-27 14:19:27;True;2023-01-27 14:19:26;400
1213238732;1552864476;2023-01-23 10:37:53;straight-shoota;closed;2023-01-24 13:33:11;True;2023-01-24 13:33:11;399
1213126705;1552737239;2023-01-23 09:05:09;github-actions[bot];closed;2023-01-24 20:23:45;True;2023-01-24 20:23:45;398
1201807610;1538143744;2023-01-18 14:58:57;straight-shoota;closed;2023-01-24 21:09:54;True;2023-01-24 21:09:54;397
1200988359;1537199021;2023-01-18 00:04:01;straight-shoota;closed;2023-01-18 14:03:13;True;2023-01-18 14:03:13;396
1200381479;1536502690;2023-01-17 14:45:23;beta-ziliani;closed;2023-01-17 21:22:00;True;2023-01-17 21:22:00;395
1189750680;1524413329;2023-01-08 09:04:35;github-actions[bot];closed;2023-01-16 13:00:16;True;2023-01-16 13:00:16;392
