splattael;241;5;1050;247;0.012145748987854251
bcardiff;5;31;490;27;8;56;28;45;9;7;15;6;42;4;15;2;2;2;60;38;51;2;4;24;47;5;7;36;14;14;29;11;24;17;7;11;6;9;5;35;6;5;351;54;386;371;13;1147;2442;0.021703521703521703
dclausen;1289;1;1.0
asterite;47;9;8;25;40;1149;130;0.046153846153846156
Byron;1258;1;1.0
RX14;1256;1;1.0
matiasgarciaisaia;55;5;9;10;3;29;12;2;6;5;39;2;15;4;9;4;6;4;117;12;32;3;9;41;20;7;10;12;8;26;94;5;10;69;1049;352;255;1160;2356;0.01825127334465195
spalladino;6;40;1064;48;0.08333333333333333
will;1111;1;1.0
philnash;1104;3;1.0
KCreate;33;14;1057;48;0.0625
pmallol;1031;1;1.0
cryptomeme;1023;1;1.0
jamierocks;7;999;8;0.25
Alexendoo;1027;1;1.0
ndbroadbent;982;1;1.0
dannyshafer;938;2;1.0
noformnocontent;950;1;1.0
Fryguy;803;594;509;1399;0.0028591851322373124
Ivo-Balbaert;823;1;1.0
whtsky;822;1;1.0
straight-shoota;4;292;187;123;40;4;7;61;2;30;135;311;4;4;7;3;21;2;25;9;17;18;44;36;8;29;2;5;19;3;2;4;2;7;4;7;6;9;16;26;80;39;37;31;2;5;3;39;9;23;13;5;18;6;14;2;2;5;14;14;8;19;15;21;11;6;7;5;4;2;37;1323;2059;0.04808159300631375
bew;11;141;437;154;0.025974025974025976
nicck;519;1;1.0
wooster0;437;2;1.0
dprobinson;219;1;1.0
jc00ke;7;100;8;0.25
ftarulla;2;855;6;771;864;0.004629629629629629
dependabot[bot];46;2;458;56;56;77;106;727;802;0.00997506234413965
github-actions[bot];7;7;8;9;7;15;3;6;7;7;16;7;15;16;15;8;14;8;16;15;9;7;7;21;7;17;7;15;8;14;8;9;7;7;8;8;7;15;9;7;7;8;16;7;8;1347;450;0.10222222222222223
beta-ziliani;39;20;8;15;4;7;13;2;6;6;12;23;13;7;4;28;16;4;6;11;2;35;3;3;28;21;17;11;38;3;9;6;15;12;2;4;10;5;13;7;30;14;6;6;4;7;8;2;8;34;12;7;14;8;16;4;16;11;42;23;42;8;34;1324;860;0.09186046511627907
HertzDevil;114;10;3;1280;128;0.03125
mekhla18;1266;1;1.0
Blacksmoke16;1246;1;1.0
sanks64;265;649;1222;915;0.003278688524590164
ilmanzo;1217;1;1.0
neatorobito;1108;1;1.0
renovate[bot];1017;1;1.0
lathropd;994;1;1.0
hahwul;982;1;1.0
mattrberry;898;1;1.0
wonderix;881;1;1.0
lbguilherme;812;1;1.0
mamantoha;686;1;1.0
jwaldrip;679;1;1.0
glhrmv;668;1;1.0
NedkoHristov;659;1;1.0
asdffdsdaf;580;1;1.0
juanfra684;552;1;1.0
pettimart;11;532;13;0.23076923076923078
denisgolius;525;1;1.0
jhass;340;16;507;357;0.008403361344537815
signed-log;472;1;1.0
oprypin;854;446;856;0.0035046728971962616
charlesrocket;446;1;1.0
noraj;338;1;1.0
lbarasti;308;1;1.0
Anilthapa5045;260;1;1.0
takanotume24;168;1;1.0
bkmgit;158;1;1.0
waj;1145;141;1146;0.0017452006980802793
danimiba;6;110;7;0.2857142857142857
wmoxam;81;1;1.0
girng;89;1;1.0
Mscebba;131;1;1.0
AYIDouble;148;1;1.0
mindplay-dk;279;1;1.0
delef;403;1;1.0
sdogruyol;803;1;1.0
ghost;951;1;1.0
alanwillms;1177;1;1.0
