id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1128427881;1456062325;2022-11-19 00:56:40;stakach;closed;2022-11-24 11:36:25;True;2022-11-24 11:36:25;79
615503632;858211904;2021-04-14 19:47:47;olbat;closed;2021-04-17 13:32:36;True;2021-04-17 13:32:36;74
561348759;793706305;2021-01-25 20:35:18;bcardiff;closed;2021-01-26 19:14:03;True;2021-01-26 19:14:03;72
533187951;757913695;2020-12-06 12:24:29;vaartis;open;NA;False;NA;71
432107232;635809513;2020-06-09 22:57:19;watzon;closed;2022-07-21 22:38:41;False;NA;69
432029878;635715494;2020-06-09 19:53:36;bcardiff;closed;2020-06-10 17:45:36;True;2020-06-10 17:45:36;68
382068373;573579848;2020-03-01 17:03:44;olbat;open;NA;False;NA;67
364518682;551898719;2020-01-19 10:12:07;olbat;open;NA;False;NA;65
300711906;472268319;2019-07-24 12:56:58;zph;open;NA;False;NA;62
297383191;467818680;2019-07-14 10:09:40;olbat;closed;2019-09-18 18:33:21;True;2019-09-18 18:33:21;61
210122426;352939350;2018-08-22 12:49:16;olbat;closed;2018-10-25 17:10:48;True;2018-10-25 17:10:48;56
209881730;352614577;2018-08-21 16:16:23;olbat;closed;2018-11-05 07:33:41;False;NA;55
209247951;351725830;2018-08-17 20:19:18;Fryguy;closed;2018-09-03 15:05:18;True;2018-09-03 15:05:17;54
198857013;337755547;2018-07-03 05:57:21;olbat;closed;2018-07-19 14:29:29;True;2018-07-19 14:29:29;52
198856947;337755457;2018-07-03 05:56:52;olbat;closed;2018-07-05 17:22:43;False;NA;51
131700498;244567560;2017-07-21 05:27:27;olbat;closed;2017-08-14 13:17:23;True;2017-08-14 13:17:23;49
121040662;229329444;2017-05-17 12:04:40;olbat;closed;2017-06-09 04:15:30;True;2017-06-09 04:15:30;48
109367501;212275084;2017-03-06 22:49:45;olbat;closed;2017-03-16 13:57:21;True;2017-03-16 13:57:21;46
105942164;207287445;2017-02-13 17:35:39;olbat;closed;2017-02-19 03:25:55;True;2017-02-19 03:25:55;44
104183887;204651200;2017-02-01 17:32:05;olbat;closed;2017-02-01 20:28:42;False;NA;38
101961274;201425359;2017-01-17 22:32:45;danny8376;closed;2017-02-07 18:01:54;True;2017-02-07 18:01:54;35
96428503;193343988;2016-12-04 10:39:38;splattael;closed;2016-12-04 13:56:49;True;2016-12-04 13:56:49;32
79958184;169204739;2016-08-03 18:47:44;splattael;closed;2016-08-05 15:33:05;True;2016-08-05 15:33:05;28
77743056;165990387;2016-07-17 19:01:17;maiha;closed;2016-07-17 20:27:36;True;2016-07-17 20:27:36;27
75581453;162830491;2016-06-29 02:54:20;brandondrew;closed;2016-06-29 14:59:41;True;2016-06-29 14:59:41;26
65253272;145891836;2016-04-05 05:32:34;oprypin;closed;2016-04-05 14:36:13;True;2016-04-05 14:36:13;21
62513942;140126596;2016-03-11 08:57:54;ysbaddaden;closed;2016-03-11 13:33:27;True;2016-03-11 13:33:27;17
54507632;123723963;2015-12-23 21:18:59;ysbaddaden;closed;2015-12-23 21:39:05;True;2015-12-23 21:39:05;14
52744981;120524743;2015-12-05 03:03:15;samis;open;NA;False;NA;10
47348843;110803807;2015-10-10 16:32:43;ysbaddaden;closed;2015-10-30 15:30:55;True;2015-10-30 15:30:55;6
47260465;110638697;2015-10-09 11:22:13;ysbaddaden;closed;2015-10-09 14:03:21;True;2015-10-09 14:03:21;5
40839402;97237362;2015-07-25 16:34:59;bebac;closed;2015-10-29 15:10:41;False;NA;4
