id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
233025324;383593423;2018-11-22 16:02:22;carlhoerberg;open;NA;False;NA;37
210499867;353450782;2018-08-23 16:06:42;jkutner;open;NA;False;NA;35
207821853;349813587;2018-08-12 13:40:56;tribela;open;NA;False;NA;34
195227707;332842529;2018-06-15 16:37:48;paulcsmith;closed;2018-06-15 17:28:21;False;NA;32
192761725;329527232;2018-06-05 16:11:27;bcardiff;closed;2018-06-06 19:06:25;True;2018-06-06 19:06:25;31
172738266;302117388;2018-03-04 20:12:57;joseph-lozano;closed;2018-03-04 20:13:43;False;NA;29
165519588;292124300;2018-01-27 14:15:11;pynixwang;closed;2020-07-12 03:52:20;False;NA;28
148951709;268783501;2017-10-26 14:30:13;danielwestendorf;closed;2018-08-13 18:00:26;False;NA;26
134527882;248532834;2017-08-07 21:10:57;matiasgarciaisaia;closed;2017-08-08 03:50:05;True;2017-08-08 03:50:05;25
134523127;248526616;2017-08-07 20:46:03;matiasgarciaisaia;closed;2017-08-08 03:49:38;True;2017-08-08 03:49:38;24
121627785;230161156;2017-05-20 15:40:38;cjfuller;closed;2017-08-31 13:27:55;True;2017-08-31 13:27:55;22
113316297;218038451;2017-03-29 23:24:41;danielpclark;open;NA;False;NA;20
113122789;217771689;2017-03-29 05:50:37;hackervera;open;NA;False;NA;18
99315143;197486184;2016-12-25 03:44:47;bacongobbler;closed;2016-12-26 14:53:03;True;2016-12-26 14:53:03;16
99297577;197452613;2016-12-24 07:24:27;bacongobbler;closed;2016-12-26 14:47:21;True;2016-12-26 14:47:21;15
99297525;197452510;2016-12-24 07:20:02;bacongobbler;closed;2016-12-27 20:29:27;True;2016-12-27 20:29:27;14
99297374;197452242;2016-12-24 07:11:16;bacongobbler;closed;2016-12-27 18:57:58;True;2016-12-27 18:57:58;13
99296877;197451406;2016-12-24 06:40:51;bacongobbler;closed;2016-12-26 15:08:44;True;2016-12-26 15:08:44;12
98074115;195697678;2016-12-15 02:06:08;jwoertink;closed;2016-12-15 02:07:43;True;2016-12-15 02:07:43;11
71876900;157467479;2016-05-30 09:40:03;zamith;closed;2016-06-23 14:05:49;True;2016-06-23 14:05:49;8
71871554;157459764;2016-05-30 08:54:11;arr-dev;closed;2016-05-30 09:33:15;True;2016-05-30 09:33:15;7
71779355;157299739;2016-05-27 22:14:40;muescha;closed;2016-05-29 19:50:35;False;NA;5
71105886;156346499;2016-05-23 19:20:36;bcardiff;closed;2016-05-26 15:50:34;True;2016-05-26 15:50:34;4
60038346;135034999;2016-02-20 05:16:04;ukd1;closed;2016-05-26 15:50:35;True;2016-05-26 15:50:35;3
34689559;73170284;2015-05-05 00:58:45;will;closed;2015-05-05 01:08:37;False;NA;1
