waj;6;1872;7;0.2857142857142857
zamith;13;52;56;33;33;24;13;20;19;64;11;14;19;38;31;50;1325;491;0.034623217922606926
hugoabonizio;1661;1;1.0
miketheman;1488;1;1.0
veelenga;1479;1;1.0
asterite;1463;1;1.0
ukd1;4;1425;5;0.4
f;1406;1;1.0
bcardiff;3;28;712;588;745;0.006711409395973154
muescha;1328;1;1.0
arr-dev;1325;1;1.0
jwoertink;1126;1;1.0
matiasgarciaisaia;890;2;1.0
cjfuller;970;1;1.0
carlhoerberg;419;1;1.0
jkutner;510;1;1.0
tribela;521;1;1.0
paulcsmith;579;1;1.0
joseph-lozano;682;1;1.0
pynixwang;718;1;1.0
danielwestendorf;811;1;1.0
danielpclark;1022;1;1.0
hackervera;1022;1;1.0
bacongobbler;1116;2;1.0
will;1716;1;1.0
