id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1457431902;1830511472;2023-08-01 05:49:29;renovate[bot];open;NA;False;NA;32
1457431583;1830511110;2023-08-01 05:49:06;renovate[bot];open;NA;False;NA;31
1416841015;1784765284;2023-07-02 18:39:53;straight-shoota;closed;2023-07-04 21:53:10;True;2023-07-04 21:53:10;30
1416749313;1784655067;2023-07-02 13:54:37;straight-shoota;closed;2023-07-02 15:32:44;True;2023-07-02 15:32:44;29
1415806941;1783600880;2023-07-01 06:55:44;renovate[bot];closed;2023-07-04 11:27:24;True;2023-07-04 11:27:24;27
1333446220;1690389981;2023-05-01 05:13:59;renovate[bot];closed;2023-05-01 15:58:42;True;2023-05-01 15:58:42;25
1284791276;1634548742;2023-03-21 19:10:06;beta-ziliani;closed;2023-03-23 14:17:07;True;2023-03-23 14:17:07;23
1280894056;1630098489;2023-03-18 02:47:41;marcdrury;closed;2023-03-20 14:53:16;False;NA;21
1280774601;1629951024;2023-03-17 21:36:48;marcdrury;closed;2023-03-17 21:37:03;False;NA;20
1141322390;1470717498;2022-12-01 05:44:20;renovate[bot];closed;2023-07-04 16:43:01;True;2023-07-04 16:43:01;19
1119705634;1446162169;2022-11-12 01:39:29;renovate[bot];closed;2022-11-12 01:55:26;True;2022-11-12 01:55:26;18
1103229043;1427402551;2022-10-28 15:09:37;renovate[bot];closed;2022-11-12 01:36:45;True;2022-11-12 01:36:45;15
1086743610;1408535682;2022-10-13 23:27:39;oprypin;closed;2022-10-13 23:41:00;True;2022-10-13 23:41:00;14
740615375;1004475240;2021-09-22 16:08:02;straight-shoota;closed;2021-09-22 16:11:48;True;2021-09-22 16:11:47;9
678085399;930384135;2021-06-25 17:52:10;straight-shoota;closed;2021-07-04 11:44:54;True;2021-07-04 11:44:54;6
674051886;925621316;2021-06-20 15:17:22;kimburgess;closed;2021-06-26 08:00:19;True;2021-06-26 08:00:19;5
453481386;661860379;2020-07-20 14:01:38;dependabot[bot];closed;2020-08-09 01:06:11;False;NA;1
