login;commits;percentage
jmarini;1;0.012766500702157539
irtimaled;1;0.012766500702157539
infinityraider;1;0.012766500702157539
iexploitableman;1;0.012766500702157539
hycrafthd;1;0.012766500702157539
hobos-taco;1;0.012766500702157539
hemile;1;0.012766500702157539
hellfirepvp;1;0.012766500702157539
hea3ven;1;0.012766500702157539
hasunwoo;1;0.012766500702157539
harleyoc1;1;0.012766500702157539
guntherdw;1;0.012766500702157539
guipsp;1;0.012766500702157539
guichaguri;1;0.012766500702157539
grompe;1;0.012766500702157539
grim3212;1;0.012766500702157539
gotolink;1;0.012766500702157539
glought;1;0.012766500702157539
glassmaker;1;0.012766500702157539
gizmothemoonpig;1;0.012766500702157539
generalcamo;1;0.012766500702157539
gegy;1;0.012766500702157539
geforce132;1;0.012766500702157539
funwayguy;1;0.012766500702157539
izzelaliz;1;0.012766500702157539
fuami;1;0.012766500702157539
jaisdk;1;0.012766500702157539
jcranky;1;0.012766500702157539
mcjty;1;0.012766500702157539
maxashen;1;0.012766500702157539
mattiamalonni;1;0.012766500702157539
matchlighter;1;0.012766500702157539
managarmr719;1;0.012766500702157539
majortuvok;1;0.012766500702157539
lukebemish;1;0.012766500702157539
luis-st;1;0.012766500702157539
lordmonoxide;1;0.012766500702157539
logictechcorp;1;0.012766500702157539
librazy;1;0.012766500702157539
liach;1;0.012766500702157539
lepkoqq;1;0.012766500702157539
legomaster3650;1;0.012766500702157539
lawremi;1;0.012766500702157539
landmaster;1;0.012766500702157539
kittychanley;1;0.012766500702157539
kevinji;1;0.012766500702157539
ketok4321;1;0.012766500702157539
juliand665;1;0.012766500702157539
jpenilla;1;0.012766500702157539
2008choco;1;0.012766500702157539
jezza;1;0.012766500702157539
jamioflan;1;0.012766500702157539
melonslise;1;0.012766500702157539
frostygames0;1;0.012766500702157539
founderio;1;0.012766500702157539
cjm721;1;0.012766500702157539
chiefarug;1;0.012766500702157539
chicken-bones;1;0.012766500702157539
cheeserolls;1;0.012766500702157539
cas-ual-ty;1;0.012766500702157539
captainshadows;1;0.012766500702157539
caltinor;1;0.012766500702157539
boy132;1;0.012766500702157539
blueagent;1;0.012766500702157539
blakebr0;1;0.012766500702157539
baileyholl;1;0.012766500702157539
azuredoom;1;0.012766500702157539
azanor;1;0.012766500702157539
awesomesyd239;1;0.012766500702157539
autovw;1;0.012766500702157539
atelieramber;1;0.012766500702157539
antonboch1244;1;0.012766500702157539
alucas;1;0.012766500702157539
alexbegt;1;0.012766500702157539
afterrebelion;1;0.012766500702157539
adneths;1;0.012766500702157539
adaptivity;1;0.012766500702157539
28pollux28;1;0.012766500702157539
cloudhunter;1;0.012766500702157539
frinn38;1;0.012766500702157539
coaster3000;1;0.012766500702157539
cojomax99;1;0.012766500702157539
fnuecke;1;0.012766500702157539
flow86;1;0.012766500702157539
fledgexu;1;0.012766500702157539
flaxbeard;1;0.012766500702157539
flanks255;1;0.012766500702157539
eragonn1490;1;0.012766500702157539
endershadow;1;0.012766500702157539
elenterius;1;0.012766500702157539
edivad99;1;0.012766500702157539
earthcomputer;1;0.012766500702157539
dvrabel;1;0.012766500702157539
dualspiral;1;0.012766500702157539
dipo33;1;0.012766500702157539
dionrhys;1;0.012766500702157539
dhouck;1;0.012766500702157539
desharin;1;0.012766500702157539
deadrik;1;0.012766500702157539
davidqf555;1;0.012766500702157539
daviddempsey;1;0.012766500702157539
daedalus4096;1;0.012766500702157539
da-technomancer;1;0.012766500702157539
cyclonit;1;0.012766500702157539
creativemd;1;0.012766500702157539
codewarrior0;1;0.012766500702157539
mgazul;1;0.012766500702157539
0uti;1;0.012766500702157539
themrmilchmann;1;0.012766500702157539
nathanatnorthernbingedotcom;1;0.012766500702157539
unnoen;1;0.012766500702157539
sobrinth;1;0.012766500702157539
personthecat;1;0.012766500702157539
thelonedevil;1;0.012766500702157539
noobanidus;1;0.012766500702157539
mincrmatt12;1;0.012766500702157539
redrelay;1;0.012766500702157539
mrmasochism;1;0.012766500702157539
rehwinkel;1;0.012766500702157539
mrcrayfish;1;0.012766500702157539
nedelosk;1;0.012766500702157539
ocelot5836;1;0.012766500702157539
viliml;1;0.012766500702157539
smith61;1;0.012766500702157539
zenith-one;1;0.012766500702157539
modmuss50;1;0.012766500702157539
miuirussia;1;0.012766500702157539
minemaarten;1;0.012766500702157539
olee;1;0.012766500702157539
youdirk;1;0.012766500702157539
mordenkainen;1;0.012766500702157539
theillusivec4;2;0.025533001404315078
edwinmindcraft;2;0.025533001404315078
thecyberbrick;2;0.025533001404315078
p3pp3rf1y;2;0.025533001404315078
tedstardev;2;0.025533001404315078
the-fireplace;2;0.025533001404315078
draake;2;0.025533001404315078
jeffreykog;2;0.025533001404315078
desht;2;0.025533001404315078
dhyces;2;0.025533001404315078
jabelar;2;0.025533001404315078
drullkus;2;0.025533001404315078
karthas077;2;0.025533001404315078
smellymodder;2;0.025533001404315078
seymourimadeit;2;0.025533001404315078
gamebuster19901;2;0.025533001404315078
gabizou;2;0.025533001404315078
shadowfacts;2;0.025533001404315078
gorymoon;2;0.025533001404315078
rubensworks;2;0.025533001404315078
rover656;2;0.025533001404315078
ilexiconn;2;0.025533001404315078
roguelogix;2;0.025533001404315078
shetiphian;2;0.025533001404315078
flemmli97;2;0.025533001404315078
random832;2;0.025533001404315078
firecontroller1847;2;0.025533001404315078
purpleposeidon;2;0.025533001404315078
exopandora;2;0.025533001404315078
ewewukek;2;0.025533001404315078
richardg867;2;0.025533001404315078
ezterry;2;0.025533001404315078
