id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
43716672;103935016;2015-08-30 17:14:57;olee;closed;2015-08-30 18:40:00;False;NA;671
42514952;101147608;2015-08-15 06:32:40;dvatreknerd314;closed;2015-08-15 07:47:02;False;NA;668
38909059;92165304;2015-06-30 18:27:46;AwesomeSpider;closed;2015-06-30 20:17:17;False;NA;665
37610620;87870417;2015-06-12 22:37:18;The-Fireplace;closed;2015-06-12 23:32:40;False;NA;663
34595184;72733373;2015-05-03 02:15:23;AbrarSyed;closed;2015-06-22 07:24:42;False;NA;653
34393513;71955827;2015-04-29 18:47:45;AbrarSyed;closed;2015-04-29 21:45:59;True;2015-04-29 21:45:59;652
34122566;71062410;2015-04-26 12:45:17;yuuka-miya;closed;2015-04-27 22:30:09;True;2015-04-27 22:30:09;650
34122565;71062409;2015-04-26 12:45:15;yuuka-miya;closed;2015-04-27 22:29:34;True;2015-04-27 22:29:34;649
33915849;70272996;2015-04-23 00:59:04;AbrarSyed;closed;2015-04-24 01:55:27;True;2015-04-24 01:55:27;647
33811778;69972198;2015-04-21 22:55:58;killjoy1221;closed;2015-04-22 19:59:18;False;NA;645
33633530;69498770;2015-04-20 03:34:22;mDiyo;open;NA;False;NA;643
33114816;67870754;2015-04-12 04:37:50;tterrag1098;closed;2015-04-14 00:13:52;True;2015-04-14 00:13:52;636
33105928;67805295;2015-04-11 16:38:29;Emberwalker;closed;2015-04-11 22:02:20;True;2015-04-11 22:02:20;635
33105665;67803574;2015-04-11 16:23:02;Emberwalker;closed;2015-04-11 16:26:11;False;NA;634
33045831;67593841;2015-04-10 13:20:25;Emberwalker;closed;2015-04-11 22:14:41;False;NA;631
32720706;66728776;2015-04-06 23:18:07;tterrag1098;open;NA;False;NA;630
32640122;66370881;2015-04-04 21:42:37;heni123321;open;NA;False;NA;629
32538742;65988153;2015-04-02 18:46:49;GotoLink;closed;2015-04-02 20:32:56;True;2015-04-02 20:32:56;627
32476061;65811092;2015-04-02 01:21:22;coolsquid;closed;2015-05-21 22:33:32;False;NA;626
32472388;65802737;2015-04-01 23:55:41;killjoy1221;closed;2015-04-02 00:40:56;True;2015-04-02 00:40:56;625
32234570;65232248;2015-03-30 15:00:16;RainWarrior;closed;2015-06-17 22:40:05;False;NA;624
32172618;64997742;2015-03-28 22:34:34;buttilda;closed;2015-04-05 03:27:18;False;NA;623
32165626;64951429;2015-03-28 15:02:02;diesieben07;closed;2015-03-28 18:23:59;True;2015-03-28 18:23:59;622
31794510;63894694;2015-03-24 03:26:09;killjoy1221;closed;2015-03-24 12:13:45;True;2015-03-24 12:13:45;620
31675469;63437103;2015-03-21 18:17:28;diesieben07;closed;2015-03-21 20:15:43;True;2015-03-21 20:15:43;617
31166879;61262879;2015-03-13 21:48:37;tterrag1098;closed;2015-03-16 17:01:12;True;2015-03-16 17:01:12;614
30712332;60234184;2015-03-08 00:45:05;SeanWHall;closed;2015-03-11 21:45:32;False;NA;612
30574017;59980154;2015-03-05 16:53:15;ErrorCraftLP;closed;2015-03-11 21:30:14;False;NA;611
30490626;59838991;2015-03-04 18:24:13;Zot201;closed;2015-03-04 18:34:25;True;2015-03-04 18:34:25;610
30379309;59651549;2015-03-03 14:49:04;Zot201;closed;2015-03-04 17:49:25;True;2015-03-04 17:49:25;609
29349510;57764267;2015-02-16 04:33:53;CAD97;closed;2015-02-16 05:30:12;False;NA;604
29338808;57740642;2015-02-15 18:42:13;bspkrs;closed;2015-02-17 03:19:59;False;NA;601
29268779;57605651;2015-02-13 14:37:58;diesieben07;closed;2015-02-13 22:04:53;True;2015-02-13 22:04:53;599
28432082;56165976;2015-02-01 14:59:43;MineDev2014;open;NA;False;NA;598
28425437;56149740;2015-02-01 03:07:08;RainWarrior;closed;2015-02-13 05:05:20;True;2015-02-13 05:05:20;597
28416661;56129404;2015-01-31 16:04:15;RainWarrior;closed;2015-02-01 03:05:44;False;NA;596
28248695;55846982;2015-01-29 02:20:31;Grinch;closed;2015-01-31 09:37:15;True;2015-01-31 09:37:15;595
28135222;55660178;2015-01-27 19:05:55;w4;closed;2016-03-04 10:47:14;False;NA;594
27555514;54658750;2015-01-17 11:13:18;jamierocks;open;NA;False;NA;592
27542424;54634063;2015-01-16 22:40:18;stephan-gh;closed;2015-01-18 22:46:18;True;2015-01-18 22:46:18;591
27470392;54517280;2015-01-15 22:59:23;TheJacko;closed;2015-01-16 22:41:45;False;NA;590
27397100;54397868;2015-01-15 00:37:55;Parker8283;closed;2015-01-15 05:21:30;False;NA;589
27132986;53920711;2015-01-09 22:04:50;matthewprenger;closed;2015-02-15 03:27:45;False;NA;587
27100560;53869062;2015-01-09 13:47:27;diesieben07;closed;2017-01-22 15:25:47;False;NA;586
26731949;53197319;2014-12-31 18:42:28;chylex;closed;2015-01-01 01:37:48;False;NA;581
26693584;53129938;2014-12-30 17:05:08;JRBulider;closed;2014-12-30 21:42:58;False;NA;580
26610983;52947878;2014-12-27 04:24:32;Parker8283;closed;2015-02-09 14:01:04;False;NA;579
26527832;52768181;2014-12-23 19:31:34;HEmile;closed;2014-12-23 22:15:41;True;2014-12-23 22:15:41;578
25620083;51186703;2014-12-06 15:38:08;lumien231;closed;2015-01-16 22:40:06;True;2015-01-16 22:40:06;575
25474305;50930076;2014-12-04 05:27:43;NightSharp;open;NA;False;NA;574
25323712;50620746;2014-12-02 07:38:42;Jezza;closed;2014-12-02 23:36:46;False;NA;570
25132998;50260860;2014-11-27 07:04:06;Zot201;closed;2015-03-03 14:49:23;False;NA;568
