id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1497636338;1876041280;2023-08-31 18:09:31;PaintNinja;open;NA;False;NA;17
1169427853;1501394247;2022-12-17 13:32:27;Su5eD;closed;2023-04-27 08:58:53;True;2023-04-27 08:58:53;16
978646995;1284103037;2022-06-24 19:15:40;marchermans;closed;2022-06-26 13:05:54;True;2022-06-26 13:05:54;15
978644019;1284099695;2022-06-24 19:11:22;marchermans;closed;2022-06-26 13:31:01;True;2022-06-26 13:31:00;14
958319370;1260924817;2022-06-05 00:32:19;cpw;closed;2022-06-09 02:07:05;True;2022-06-09 02:07:05;13
958182953;1260756371;2022-06-04 13:42:58;marchermans;open;NA;False;NA;12
914610989;1210155479;2022-04-20 20:02:41;DaemonUmbra;closed;2023-08-17 00:53:02;False;NA;11
760105212;1028677491;2021-10-18 06:19:17;marchermans;closed;2022-03-06 19:30:18;True;2022-03-06 19:30:18;10
736704615;999757830;2021-09-17 22:16:16;SizableShrimp;closed;2021-09-18 00:09:47;True;2021-09-18 00:09:47;9
666472177;916858098;2021-06-10 03:46:53;SizableShrimp;closed;2021-06-10 03:51:29;True;2021-06-10 03:51:29;8
521966699;744200722;2020-11-16 21:24:21;ichttt;closed;2022-03-06 18:49:59;False;NA;7
462960849;673025521;2020-08-04 19:21:07;mrp-v2;closed;2022-03-06 19:30:17;False;NA;6
459684415;669294293;2020-07-31 00:14:25;mrp-v2;closed;2020-08-04 13:23:25;False;NA;5
437978391;643114652;2020-06-22 14:23:51;jamierocks;closed;2021-07-01 12:49:03;False;NA;4
402282743;598404864;2020-04-12 03:56:16;tterrag1098;closed;2020-04-25 21:11:50;True;2020-04-25 21:11:50;3
247976068;403587323;2019-01-27 19:42:55;ichttt;closed;2019-01-29 01:48:15;True;2019-01-29 01:48:15;1
