id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
993757997;1301452251;2022-07-12 02:29:06;SizableShrimp;closed;2022-07-20 19:21:34;True;2022-07-20 19:21:34;12
942855385;1243299396;2022-05-20 15:19:09;marchermans;closed;2022-05-20 16:11:08;True;2022-05-20 16:11:08;11
915601346;1211329466;2022-04-21 17:17:10;SizableShrimp;closed;2022-04-21 17:34:23;True;2022-04-21 17:34:23;10
694012190;949282287;2021-07-21 03:19:07;SizableShrimp;closed;2021-07-21 03:23:41;True;2021-07-21 03:23:41;9
689387859;943811622;2021-07-13 20:43:08;SizableShrimp;closed;2021-07-13 21:18:04;True;2021-07-13 21:18:04;8
673092703;924453634;2021-06-18 01:11:54;SizableShrimp;closed;2021-06-18 01:16:39;True;2021-06-18 01:16:39;7
672153909;923382373;2021-06-17 03:36:40;SizableShrimp;closed;2021-06-17 08:37:18;True;2021-06-17 08:37:18;6
628439143;873682430;2021-05-01 14:07:52;AterAnimAvis;closed;2021-06-01 13:29:18;False;NA;5
591608425;830036675;2021-03-12 11:41:39;TheSilkMiner;closed;2021-07-26 18:22:04;True;2021-07-26 18:22:04;4
438565401;643834636;2020-06-23 13:18:07;TheSilkMiner;closed;2020-06-24 17:42:09;True;2020-06-24 17:42:09;2
294682446;464393005;2019-07-04 20:56:43;DaemonUmbra;closed;2019-07-05 05:52:20;True;2019-07-05 05:52:20;1
