id;issue_id;date;creator_login;status;closed_at;merged;merged_at;number
1497695105;1876106370;2023-08-31 18:52:01;PaintNinja;open;NA;False;NA;35
1494046340;1871982282;2023-08-29 16:03:35;PaintNinja;closed;2023-08-29 16:48:13;True;2023-08-29 16:48:13;34
1380146618;1743061356;2023-06-06 04:28:39;coehlrich;closed;2023-06-08 00:27:05;True;2023-06-08 00:27:04;33
1333680864;1690655332;2023-05-01 10:34:06;coehlrich;closed;2023-05-02 04:44:23;True;2023-05-02 04:44:23;31
1180975638;1514567700;2022-12-30 14:40:48;PaintNinja;open;NA;False;NA;30
971287282;1275797785;2022-06-18 14:01:58;PaintNinja;closed;2022-07-11 19:56:35;True;2022-07-11 19:56:35;27
971285542;1275795629;2022-06-18 13:52:05;PaintNinja;closed;2022-07-11 19:57:10;True;2022-07-11 19:57:10;26
969825468;1274129683;2022-06-16 22:05:42;PaintNinja;closed;2023-02-01 19:58:12;True;2023-02-01 19:58:12;25
943522750;1244087872;2022-05-21 21:43:57;PaintNinja;closed;2022-05-21 21:46:12;True;2022-05-21 21:46:12;23
943513528;1244075822;2022-05-21 20:31:03;PaintNinja;closed;2022-05-21 21:46:40;True;2022-05-21 21:46:40;22
943506812;1244067322;2022-05-21 19:44:32;PaintNinja;closed;2022-05-21 19:45:40;True;2022-05-21 19:45:40;21
905023163;1198734164;2022-04-09 18:16:59;PaintNinja;closed;2022-06-08 19:57:18;True;2022-06-08 19:57:18;20
901965856;1195126723;2022-04-06 20:12:41;PaintNinja;closed;2022-04-06 20:47:18;True;2022-04-06 20:47:18;19
901247831;1194318114;2022-04-06 09:16:45;PaintNinja;closed;2022-04-06 17:52:49;False;NA;18
898394565;1191064679;2022-04-03 22:25:54;PaintNinja;closed;2022-04-03 22:31:16;False;NA;17
895690640;1187863580;2022-03-31 10:24:39;PaintNinja;closed;2022-05-11 20:07:49;True;2022-05-11 20:07:49;13
736939452;1000089288;2021-09-18 17:29:13;sciwhiz12;closed;2021-09-18 17:40:51;True;2021-09-18 17:40:51;10
721715147;981730259;2021-08-28 04:55:32;DaemonUmbra;closed;2021-09-18 18:05:59;True;2021-09-18 18:05:59;9
617533219;860733684;2021-04-18 18:38:13;gigaherz;closed;2021-04-18 19:06:59;True;2021-04-18 19:06:59;8
610016293;851625601;2021-04-06 17:05:32;Thelonedevil;closed;2021-09-18 18:03:02;False;NA;7
555984820;787235640;2021-01-15 22:00:09;TheCurle;closed;2021-09-18 18:03:33;False;NA;6
376332705;566539783;2020-02-17 22:16:26;busti;closed;2020-02-20 17:49:56;True;2020-02-20 17:49:56;5
